# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
CSR-1 Targets Adults > 150 RPM (333),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00003133,,,,WBGene00003133,WBGene00003133,History: Renamed on 2022-01-03
WBGene00003156,,,,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003159,,,,WBGene00003159,WBGene00003159,History: N.A.
WBGene00003160,,,,WBGene00003160,WBGene00003160,History: Renamed on 2013-11-19
WBGene00003210,,,,WBGene00003210,WBGene00003210,History: N.A.
WBGene00003214,,,,WBGene00003214,WBGene00003214,History: N.A.
WBGene00003218,,,,WBGene00003218,WBGene00003218,History: N.A.
WBGene00003222,,,,WBGene00003222,WBGene00003222,History: N.A.
WBGene00003367,,,,WBGene00003367,WBGene00003367,History: N.A.
WBGene00003389,,,,WBGene00003389,WBGene00003389,History: N.A.
WBGene00003410,,,,WBGene00003410,WBGene00003410,History: N.A.
WBGene00003421,,,,WBGene00003421,WBGene00003421,History: N.A.
WBGene00003504,,,,WBGene00003504,WBGene00003504,History: N.A.
WBGene00003507,,,,WBGene00003507,WBGene00003507,History: N.A.
WBGene00003676,,,,WBGene00003676,WBGene00003676,History: N.A.
WBGene00003777,,,,WBGene00003777,WBGene00003777,History: N.A.
WBGene00003785,,,,WBGene00003785,WBGene00003785,History: N.A.
WBGene00003789,,,,WBGene00003789,WBGene00003789,History: N.A.
WBGene00003792,,,,WBGene00003792,WBGene00003792,History: Renamed on 2015-03-05
WBGene00003793,,,,WBGene00003793,WBGene00003793,History: N.A.
WBGene00003795,,,,WBGene00003795,WBGene00003795,History: N.A.
WBGene00003796,,,,WBGene00003796,WBGene00003796,History: N.A.
WBGene00003798,,,,WBGene00003798,WBGene00003798,History: N.A.
WBGene00003799,,,,WBGene00003799,WBGene00003799,History: N.A.
WBGene00003801,,,,WBGene00003801,WBGene00003801,History: N.A.
WBGene00003904,,,,WBGene00003904,WBGene00003904,History: Renamed on 2007-02-23
WBGene00003914,,,,WBGene00003914,WBGene00003914,History: Renamed on 2006-10-19
WBGene00003951,,,,WBGene00003951,WBGene00003951,History: N.A.
WBGene00003992,,,,WBGene00003992,WBGene00003992,History: N.A.
WBGene00003994,,,,WBGene00003994,WBGene00003994,History: Renamed on 2005-10-06
WBGene00004042,,,,WBGene00004042,WBGene00004042,History: N.A.
WBGene00004043,,,,WBGene00004043,WBGene00004043,History: N.A.
WBGene00004094,,,,WBGene00004094,WBGene00004094,History: Renamed on 2011-10-14
WBGene00004167,,,,WBGene00004167,WBGene00004167,History: N.A.
WBGene00004179,,,,WBGene00004179,WBGene00004179,History: Renamed on 2007-11-05
WBGene00004187,,,,WBGene00004187,WBGene00004187,History: N.A.
