# Supplementary File 3,Sheet 16: Small RNAs significantly down-regulated 2 fold or greater in prg-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00012554,-8.41085893111102,WBGene00012554,WBGene00012554,History: N.A.
WBGene00044371,-8.40370224898767,WBGene00044371,WBGene00044371,History: N.A.
WBGene00010148,-8.38296099093283,WBGene00010148,WBGene00010148,History: N.A.
WBGene00013233,-8.35872388315695,WBGene00013233,WBGene00013233,History: Renamed on 2005-12-13
WBGene00195183,-8.35629034354055,WBGene00195183,WBGene00195183,History: N.A.
WBGene00016165,-8.3545133972866,WBGene00016165,WBGene00016165,History: N.A.
WBGene00012899,-8.34456918224804,WBGene00012899,WBGene00012899,History: N.A.
WBGene00021976,-8.32973844844974,WBGene00021976,WBGene00021976,History: N.A.
WBGene00044281,-8.32132606138022,WBGene00044281,WBGene00044281,History: N.A.
WBGene00017698,-8.31385301234959,WBGene00017698,WBGene00017698,History: N.A.
WBGene00219957,-8.30741656900186,WBGene00219957,WBGene00219957,History: N.A.
WBGene00255736,-8.30380394849229,WBGene00255736,WBGene00255736,History: N.A.
WBGene00003585,-8.3000709967115,WBGene00003585,WBGene00003585,History: N.A.
WBGene00189980,-8.29884546604618,WBGene00189980,WBGene00189980,History: N.A.
WBGene00044000,-8.29747336950474,WBGene00044000,WBGene00044000,History: N.A.
WBGene00007055,-8.27276658042446,WBGene00007055,WBGene00007055,History: N.A.
WBGene00016110,-8.26941469714936,WBGene00016110,WBGene00016110,History: N.A.
WBGene00003075,-8.26041655869841,WBGene00003075,WBGene00003075,History: N.A.
WBGene00016308,-8.2575085316139,WBGene00016308,WBGene00016308,History: N.A.
WBGene00200434,-8.23277548662534,WBGene00200434,WBGene00200434,History: N.A.
WBGene00007133,-8.22884961476805,WBGene00007133,WBGene00007133,History: N.A.
WBGene00009020,-8.22050962295479,WBGene00009020,WBGene00009020,History: N.A.
WBGene00018363,-8.20736683988633,WBGene00018363,WBGene00018363,History: N.A.
WBGene00013403,-8.19266751083676,WBGene00013403,WBGene00013403,History: N.A.
WBGene00077712,-8.19005123530214,WBGene00077712,WBGene00077712,History: N.A.
WBGene00018085,-8.18011506608138,WBGene00018085,WBGene00018085,History: N.A.
WBGene00023209,-8.17132384115303,WBGene00023209,WBGene00023209,History: N.A.
WBGene00012442,-8.16849935809176,WBGene00012442,WBGene00012442,History: N.A.
WBGene00013009,-8.14314917773661,WBGene00013009,WBGene00013009,History: N.A.
WBGene00015020,-8.13414125381475,WBGene00015020,WBGene00015020,History: N.A.
WBGene00017900,-8.09515390453625,WBGene00017900,WBGene00017900,History: N.A.
WBGene00012851,-8.08731301438646,WBGene00012851,WBGene00012851,History: N.A.
WBGene00197009,-8.08373823695181,WBGene00197009,WBGene00197009,History: N.A.
WBGene00016012,-8.08304340803175,WBGene00016012,WBGene00016012,History: N.A.
WBGene00007119,-8.07993041802125,WBGene00007119,WBGene00007119,History: N.A.
WBGene00002222,-8.04835539615109,WBGene00002222,WBGene00002222,"History: Split into F20C5.11(WBGene00303015). History of WBGene00002222: Split into ""WBGene00303015"" on 2018-03-06"
WBGene00011829,-8.03862566789025,WBGene00011829,WBGene00011829,History: N.A.
WBGene00219207,-8.03328453843095,WBGene00219207,WBGene00219207,History: N.A.
WBGene00021531,-8.02113503888673,WBGene00021531,WBGene00021531,History: N.A.
WBGene00010311,-8.00847654430345,WBGene00010311,WBGene00010311,History: N.A.
WBGene00013563,-7.99842041042749,WBGene00013563,WBGene00013563,History: N.A.
WBGene00022163,-7.98228776936815,WBGene00022163,WBGene00022163,History: N.A.
WBGene00013321,-7.97422921180128,WBGene00013321,WBGene00013321,History: N.A.
WBGene00019735,-7.97167783161245,WBGene00019735,WBGene00019735,History: N.A.
WBGene00018615,-7.96981246474363,WBGene00018615,WBGene00018615,History: N.A.
WBGene00008776,-7.96415695536617,WBGene00008776,WBGene00008776,History: N.A.
WBGene00021790,-7.96270504205753,WBGene00021790,WBGene00021790,History: N.A.
WBGene00021542,-7.9615960745956,WBGene00021542,WBGene00021542,History: N.A.
WBGene00019267,-7.95635717056398,WBGene00019267,WBGene00019267,History: N.A.
WBGene00000819,-7.94022420120328,WBGene00000819,WBGene00000819,History: N.A.
WBGene00012847,-7.93056760631234,WBGene00012847,WBGene00012847,History: N.A.
WBGene00004933,-7.92520975653131,WBGene00004933,WBGene00004933,History: N.A.
WBGene00077490,-7.91755459347651,WBGene00077490,WBGene00077490,History: N.A.
WBGene00006962,-7.91561828176953,WBGene00006962,WBGene00006962,History: N.A.
WBGene00020678,-7.91485946295481,WBGene00020678,WBGene00020678,History: N.A.
WBGene00019739,-7.90994833901364,WBGene00019739,WBGene00019739,History: N.A.
WBGene00044154,-7.90667931037075,WBGene00044154,WBGene00044154,History: N.A.
WBGene00016307,-7.88638230072783,WBGene00016307,WBGene00016307,History: N.A.
WBGene00014099,-7.88406255952041,WBGene00014099,WBGene00014099,History: N.A.
WBGene00016070,-7.87484882924775,WBGene00016070,WBGene00016070,History: N.A.
WBGene00011049,-7.87131537558423,WBGene00011049,WBGene00011049,History: N.A.
WBGene00021096,-7.85735740059215,WBGene00021096,WBGene00021096,History: N.A.
WBGene00011531,-7.85463043620673,WBGene00011531,WBGene00011531,"History: Split into T06D10.8(WBGene00303078). History of WBGene00011531: Split into ""WBGene00303078"" on 2018-03-02"
WBGene00044443,-7.85049099273114,WBGene00044443,WBGene00044443,History: N.A.
WBGene00012412,-7.84341529938984,WBGene00012412,WBGene00012412,"History: Split into Y7A5A.25(WBGene00304824). History of WBGene00012412: Split into ""WBGene00304824"" on 2019-07-25"
WBGene00018433,-7.8415301517368,WBGene00018433,WBGene00018433,History: N.A.
WBGene00077762,-7.83958613609574,WBGene00077762,WBGene00077762,History: N.A.
WBGene00008353,-7.81262230420908,WBGene00008353,WBGene00008353,History: N.A.
WBGene00020473,-7.79652535751288,WBGene00020473,WBGene00020473,History: N.A.
WBGene00010330,-7.79300125808179,WBGene00010330,WBGene00010330,History: N.A.
WBGene00009917,-7.77702614386919,WBGene00009917,WBGene00009917,History: N.A.
WBGene00011733,-7.77656747565429,WBGene00011733,WBGene00011733,History: N.A.
