# Supplementary File 5,Sheet 12: mRNAs significantly down-regulated 2 fold or greater in mut-16 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00021247,-1.58348887148225,WBGene00021247,WBGene00021247,History: N.A.
WBGene00018335,-1.58301290115188,WBGene00018335,WBGene00018335,History: N.A.
WBGene00022198,-1.55367391584075,WBGene00022198,WBGene00022198,History: N.A.
WBGene00001880,-1.53087056298896,WBGene00001880,WBGene00001880,History: N.A.
WBGene00001923,-1.52835470666923,WBGene00001923,WBGene00001923,History: N.A.
WBGene00001901,-1.52835470666923,WBGene00001901,WBGene00001901,History: N.A.
WBGene00009396,-1.52715208463887,WBGene00009396,WBGene00009396,History: N.A.
WBGene00022060,-1.52379657564161,WBGene00022060,WBGene00022060,History: N.A.
WBGene00007366,-1.52206796178588,WBGene00007366,WBGene00007366,History: N.A.
WBGene00004987,-1.52174329799866,WBGene00004987,WBGene00004987,History: N.A.
WBGene00012448,-1.50879844903847,WBGene00012448,WBGene00012448,History: N.A.
WBGene00003420,-1.49975662817627,WBGene00003420,WBGene00003420,History: N.A.
WBGene00005003,-1.49658657147258,WBGene00005003,WBGene00005003,History: N.A.
WBGene00019577,-1.4959560099144,WBGene00019577,WBGene00019577,History: N.A.
WBGene00016474,-1.49144370354844,WBGene00016474,WBGene00016474,History: N.A.
WBGene00012240,-1.48595574442131,WBGene00012240,WBGene00012240,History: N.A.
WBGene00019576,-1.48111380213268,WBGene00019576,WBGene00019576,History: N.A.
WBGene00044443,-1.46953925321815,WBGene00044443,WBGene00044443,History: N.A.
WBGene00017556,-1.45948707430664,WBGene00017556,WBGene00017556,History: N.A.
WBGene00018061,-1.45907473938417,WBGene00018061,WBGene00018061,History: N.A.
WBGene00012368,-1.45120004914543,WBGene00012368,WBGene00012368,History: N.A.
WBGene00009988,-1.44601523708631,WBGene00009988,WBGene00009988,History: N.A.
WBGene00018439,-1.44428708178144,WBGene00018439,WBGene00018439,History: N.A.
WBGene00021772,-1.43939000839689,WBGene00021772,WBGene00021772,History: N.A.
WBGene00007362,-1.4291936614802,WBGene00007362,WBGene00007362,History: N.A.
WBGene00012919,-1.3959693500364,WBGene00012919,WBGene00012919,History: N.A.
WBGene00018664,-1.38841853823216,WBGene00018664,WBGene00018664,History: N.A.
WBGene00009213,-1.37525265489696,WBGene00009213,WBGene00009213,History: Renamed on 2004-08-25
WBGene00012583,-1.37505373039724,WBGene00012583,WBGene00012583,History: N.A.
WBGene00001881,-1.36976561928411,WBGene00001881,WBGene00001881,History: N.A.
WBGene00001770,-1.36831752504209,WBGene00001770,WBGene00001770,History: N.A.
WBGene00020191,-1.3674640657472,WBGene00020191,WBGene00020191,History: N.A.
WBGene00008536,-1.36566924380313,WBGene00008536,WBGene00008536,History: N.A.
WBGene00194717,-1.36415659166856,WBGene00194717,WBGene00194717,History: N.A.
WBGene00020016,-1.35063445908367,WBGene00020016,WBGene00020016,History: N.A.
WBGene00023069,-1.34674009480586,WBGene00023069,WBGene00023069,History: N.A.
WBGene00001882,-1.33251785327023,WBGene00001882,WBGene00001882,History: N.A.
WBGene00011065,-1.31873911385023,WBGene00011065,WBGene00011065,History: N.A.
WBGene00001663,-1.31550433682043,WBGene00001663,WBGene00001663,History: N.A.
WBGene00013755,-1.31257337112758,WBGene00013755,WBGene00013755,History: N.A.
WBGene00007900,-1.30705812331743,WBGene00007900,WBGene00007900,History: N.A.
WBGene00011924,-1.30701049725222,WBGene00011924,WBGene00011924,History: N.A.
WBGene00016295,-1.30632994289245,WBGene00016295,WBGene00016295,History: N.A.
WBGene00194651,-1.30457582286978,WBGene00194651,WBGene00194651,History: N.A.
WBGene00010311,-1.29772084397614,WBGene00010311,WBGene00010311,History: N.A.
WBGene00010411,-1.27523884293747,WBGene00010411,WBGene00010411,"History: Split into H25K10.141(WBGene00219331). History of WBGene00010411: Split into ""WBGene00219331"" on 2012-01-16"
WBGene00010426,-1.27171243265175,WBGene00010426,WBGene00010426,History: N.A.
WBGene00022885,-1.26913750105236,WBGene00022885,WBGene00022885,History: N.A.
WBGene00010295,-1.26809744126837,WBGene00010295,WBGene00010295,History: N.A.
WBGene00009773,-1.26227987695554,WBGene00009773,WBGene00009773,History: N.A.
WBGene00011801,-1.26004272306684,WBGene00011801,WBGene00011801,History: N.A.
WBGene00000497,-1.25366850734652,WBGene00000497,WBGene00000497,History: N.A.
WBGene00012922,-1.23949012155224,WBGene00012922,WBGene00012922,History: N.A.
WBGene00020433,-1.23616664747505,WBGene00020433,WBGene00020433,History: N.A.
WBGene00022076,-1.23523065508919,WBGene00022076,WBGene00022076,History: N.A.
WBGene00020163,-1.23505181727257,WBGene00020163,WBGene00020163,History: N.A.
WBGene00012582,-1.23332770946674,WBGene00012582,WBGene00012582,History: N.A.
WBGene00008221,-1.2304834849136,WBGene00008221,WBGene00008221,History: N.A.
WBGene00003884,-1.22743806674992,WBGene00003884,WBGene00003884,History: N.A.
WBGene00008971,-1.22375329671447,WBGene00008971,WBGene00008971,History: N.A.
WBGene00009135,-1.22209873483397,WBGene00009135,WBGene00009135,History: N.A.
WBGene00001924,-1.22138625622124,WBGene00001924,WBGene00001924,History: N.A.
WBGene00001902,-1.22138625622124,WBGene00001902,WBGene00001902,History: N.A.
WBGene00045292,-1.21972482447352,WBGene00045292,WBGene00045292,History: N.A.
WBGene00018658,-1.21529992982908,WBGene00018658,WBGene00018658,History: N.A.
WBGene00003508,-1.21333141219675,WBGene00003508,WBGene00003508,History: Renamed on 2013-10-16
WBGene00015044,-1.2109379371803,WBGene00015044,WBGene00015044,History: Renamed on 2004-08-25
WBGene00015588,-1.20773962190809,WBGene00015588,WBGene00015588,History: N.A.
WBGene00206482,-1.20410938627177,WBGene00206482,WBGene00206482,History: N.A.
WBGene00004344,-1.19987152423501,WBGene00004344,WBGene00004344,History: N.A.
WBGene00044638,-1.18603470422649,WBGene00044638,WBGene00044638,History: N.A.
WBGene00012780,-1.18069010246459,WBGene00012780,WBGene00012780,History: N.A.
WBGene00017091,-1.17737298655946,WBGene00017091,WBGene00017091,History: N.A.
