# Supplementary File 5,Sheet 2: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00006449,-1.60913838900427,WBGene00006449,WBGene00006449,History: Renamed on 2013-12-23
WBGene00013826,-1.57543614500251,WBGene00013826,WBGene00013826,History: N.A.
WBGene00021671,-1.56768179819517,WBGene00021671,WBGene00021671,"History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
WBGene00018223,-1.54077675229438,WBGene00018223,WBGene00018223,History: N.A.
WBGene00019138,-1.53001926575525,WBGene00019138,WBGene00019138,History: N.A.
WBGene00004976,-1.51788043681638,WBGene00004976,WBGene00004976,History: N.A.
WBGene00022083,-1.51638534690767,WBGene00022083,WBGene00022083,History: N.A.
WBGene00011805,-1.5110063958197,WBGene00011805,WBGene00011805,History: N.A.
WBGene00010768,-1.50226918611647,WBGene00010768,WBGene00010768,History: N.A.
WBGene00001935,-1.49735623402924,WBGene00001935,WBGene00001935,History: N.A.
WBGene00017101,-1.48889507036996,WBGene00017101,WBGene00017101,History: N.A.
WBGene00235353,-1.47715374746043,WBGene00235353,WBGene00235353,History: N.A.
WBGene00018664,-1.41162690809851,WBGene00018664,WBGene00018664,History: N.A.
WBGene00021772,-1.37215572787309,WBGene00021772,WBGene00021772,History: N.A.
WBGene00016953,-1.35132379401715,WBGene00016953,WBGene00016953,History: N.A.
WBGene00006925,-1.3509997199131,WBGene00006925,WBGene00006925,History: N.A.
WBGene00015865,-1.33140426444412,WBGene00015865,WBGene00015865,History: N.A.
WBGene00015012,-1.31583201493582,WBGene00015012,WBGene00015012,History: N.A.
WBGene00012198,-1.31559928843097,WBGene00012198,WBGene00012198,History: N.A.
WBGene00013554,-1.30952336827638,WBGene00013554,WBGene00013554,History: N.A.
WBGene00000657,-1.30447135256958,WBGene00000657,WBGene00000657,History: N.A.
WBGene00009982,-1.30081555296731,WBGene00009982,WBGene00009982,History: N.A.
WBGene00000712,-1.26986618817321,WBGene00000712,WBGene00000712,History: N.A.
WBGene00000753,-1.2691419994631,WBGene00000753,WBGene00000753,History: N.A.
WBGene00017796,-1.25426750404276,WBGene00017796,WBGene00017796,History: N.A.
WBGene00010034,-1.24390085467715,WBGene00010034,WBGene00010034,History: N.A.
WBGene00008634,-1.23649314794812,WBGene00008634,WBGene00008634,History: N.A.
WBGene00007675,-1.22943746033317,WBGene00007675,WBGene00007675,History: N.A.
WBGene00000703,-1.21380658317079,WBGene00000703,WBGene00000703,History: N.A.
WBGene00012676,-1.20306385848601,WBGene00012676,WBGene00012676,History: N.A.
WBGene00012623,-1.19448397597523,WBGene00012623,WBGene00012623,History: N.A.
WBGene00011910,-1.19146547596707,WBGene00011910,WBGene00011910,History: N.A.
WBGene00004932,-1.18141936098351,WBGene00004932,WBGene00004932,History: N.A.
WBGene00011339,-1.17608970948526,WBGene00011339,WBGene00011339,History: N.A.
WBGene00016540,-1.17059887672029,WBGene00016540,WBGene00016540,History: N.A.
WBGene00021619,-1.16976998047452,WBGene00021619,WBGene00021619,"History: Split into Y47D7A.18(WBGene00235165). History of WBGene00021619: Split into ""WBGene00235165"" on 2013-06-18"
WBGene00009515,-1.16950720256863,WBGene00009515,WBGene00009515,History: N.A.
WBGene00000740,-1.15855988905541,WBGene00000740,WBGene00000740,History: N.A.
WBGene00003958,-1.15666571936318,WBGene00003958,WBGene00003958,History: N.A.
WBGene00006927,-1.13604593366088,WBGene00006927,WBGene00006927,History: N.A.
WBGene00022017,-1.13596492957443,WBGene00022017,WBGene00022017,History: N.A.
WBGene00000732,-1.13577040694329,WBGene00000732,WBGene00000732,History: N.A.
WBGene00012323,-1.12214940862824,WBGene00012323,WBGene00012323,History: N.A.
WBGene00019550,-1.10946121584097,WBGene00019550,WBGene00019550,History: N.A.
WBGene00018898,-1.10926400787648,WBGene00018898,WBGene00018898,History: N.A.
WBGene00000667,-1.0976117831997,WBGene00000667,WBGene00000667,History: N.A.
WBGene00014914,-1.08598064286371,WBGene00014914,WBGene00014914,History: N.A.
WBGene00001581,-1.0851824452581,WBGene00001581,WBGene00001581,History: N.A.
WBGene00015932,-1.08482241862892,WBGene00015932,WBGene00015932,History: N.A.
WBGene00001594,-1.07876276432112,WBGene00001594,WBGene00001594,History: N.A.
WBGene00007376,-1.07820697607439,WBGene00007376,WBGene00007376,History: N.A.
WBGene00010550,-1.07758009657657,WBGene00010550,WBGene00010550,History: N.A.
WBGene00003015,-1.06803320663855,WBGene00003015,WBGene00003015,History: N.A.
WBGene00003559,-1.06498717601758,WBGene00003559,WBGene00003559,History: N.A.
WBGene00015016,-1.05649027693329,WBGene00015016,WBGene00015016,History: N.A.
WBGene00014692,-1.05176727531724,WBGene00014692,WBGene00014692,History: N.A.
WBGene00011522,-1.05093669066772,WBGene00011522,WBGene00011522,History: N.A.
WBGene00017594,-1.04849911692252,WBGene00017594,WBGene00017594,History: N.A.
WBGene00001399,-1.03833526281523,WBGene00001399,WBGene00001399,History: N.A.
WBGene00012802,-1.03491470981553,WBGene00012802,WBGene00012802,History: N.A.
WBGene00019139,-1.01940483260011,WBGene00019139,WBGene00019139,History: N.A.
WBGene00000801,-1.01875510380673,WBGene00000801,WBGene00000801,History: Renamed on 2010-01-29
WBGene00016492,-1.01594213635244,WBGene00016492,WBGene00016492,History: N.A.
WBGene00021340,-1.00606073699278,WBGene00021340,WBGene00021340,History: N.A.
