# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Downregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00013008,WBGene00013008,WBGene00013008,History: N.A.
P0-F1,WBGene00269421,WBGene00269421,WBGene00269421,History: N.A.
P0-F1,WBGene00000222,WBGene00000222,WBGene00000222,History: N.A.
P0-F1,WBGene00004933,WBGene00004933,WBGene00004933,History: N.A.
P0-F1,WBGene00016359,WBGene00016359,WBGene00016359,History: N.A.
P0-F1,WBGene00008820,WBGene00008820,WBGene00008820,History: N.A.
P0-F1,WBGene00017667,WBGene00017667,WBGene00017667,History: N.A.
P0-F1,WBGene00022615,WBGene00022615,WBGene00022615,History: N.A.
P0-F1,WBGene00013982,WBGene00013982,WBGene00013982,History: N.A.
P0-F1,WBGene00016454,WBGene00016454,WBGene00016454,History: N.A.
P0-F1,WBGene00006932,WBGene00006932,WBGene00006932,History: N.A.
P0-F1,WBGene00011259,WBGene00011259,WBGene00011259,History: N.A.
P0-F1,WBGene00022893,WBGene00022893,WBGene00022893,History: N.A.
P0-F1,WBGene00019624,WBGene00019624,WBGene00019624,History: N.A.
P0-F1,WBGene00012824,WBGene00012824,WBGene00012824,History: N.A.
P0-F1,WBGene00000070,WBGene00000070,WBGene00000070,History: N.A.
P0-F1,WBGene00007064,WBGene00007064,WBGene00007064,History: N.A.
P0-F1,WBGene00003568,WBGene00003568,WBGene00003568,History: N.A.
P0-F1,WBGene00007819,WBGene00007819,WBGene00007819,History: N.A.
P0-F1,WBGene00011072,WBGene00011072,WBGene00011072,History: N.A.
P0-F1,WBGene00003111,WBGene00003111,WBGene00003111,History: N.A.
P0-F1,WBGene00000485,WBGene00000485,WBGene00000485,History: Renamed on 2011-09-22
P0-F1,WBGene00007827,WBGene00007827,WBGene00007827,History: Renamed on 2017-05-31
P0-F1,WBGene00044665,WBGene00044665,WBGene00044665,History: N.A.
P0-F1,WBGene00014199,WBGene00014199,WBGene00014199,History: N.A.
P0-F1,WBGene00012980,WBGene00012980,WBGene00012980,History: N.A.
P0-F1,WBGene00007317,WBGene00007317,WBGene00007317,History: N.A.
P0-F1,WBGene00009945,WBGene00009945,WBGene00009945,"History: Split into F52H3.11(WBGene00303061). History of WBGene00009945: Split into ""WBGene00303061"" on 2018-03-02"
P0-F1,WBGene00017045,WBGene00017045,WBGene00017045,History: Renamed on 2010-05-28
P0-F1,WBGene00007121,WBGene00007121,WBGene00007121,History: N.A.
P0-F1,WBGene00022475,WBGene00022475,WBGene00022475,History: N.A.
P0-F1,WBGene00003861,WBGene00003861,WBGene00003861,History: N.A.
P0-F1,WBGene00003564,WBGene00003564,WBGene00003564,History: N.A.
P0-F1,WBGene00019806,WBGene00019806,WBGene00019806,History: N.A.
P0-F1,WBGene00011643,WBGene00011643,WBGene00011643,History: Renamed on 2015-04-29
P0-F1,WBGene00004222,WBGene00004222,WBGene00004222,History: N.A.
P0-F1,WBGene00009876,WBGene00009876,WBGene00009876,History: N.A.
P0-F1,WBGene00001457,WBGene00001457,WBGene00001457,History: N.A.
P0-F1,WBGene00003707,WBGene00003707,WBGene00003707,History: N.A.
P0-F1,WBGene00271642,WBGene00271642,WBGene00271642,History: N.A.
P0-F1,WBGene00009096,WBGene00009096,WBGene00009096,History: N.A.
P0-F1,WBGene00011344,WBGene00011344,WBGene00011344,History: N.A.
P0-F1,WBGene00019074,WBGene00019074,WBGene00019074,History: N.A.
P0-F1,WBGene00022093,WBGene00022093,WBGene00022093,History: N.A.
P0-F1,WBGene00021637,WBGene00021637,WBGene00021637,History: N.A.
P0-F1,WBGene00011517,WBGene00011517,WBGene00011517,History: Renamed on 2006-03-17
P0-F1,WBGene00014090,WBGene00014090,WBGene00014090,"History: Split into srlf-33(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30; Renamed on 2022-10-03"
P0-F1,WBGene00019263,WBGene00019263,WBGene00019263,History: N.A.
P0-F1,WBGene00007325,WBGene00007325,WBGene00007325,History: N.A.
P0-F1,WBGene00001463,WBGene00001463,WBGene00001463,History: N.A.
P0-F1,WBGene00011090,WBGene00011090,WBGene00011090,History: N.A.
P0-F1,WBGene00002233,WBGene00002233,WBGene00002233,History: N.A.
P0-F1,WBGene00019237,WBGene00019237,WBGene00019237,History: N.A.
P0-F1,WBGene00007764,WBGene00007764,WBGene00007764,History: N.A.
P0-F1,WBGene00001101,WBGene00001101,WBGene00001101,History: Renamed on 2016-08-02
P0-F1,WBGene00011101,WBGene00011101,WBGene00011101,History: N.A.
P0-F1,WBGene00015647,WBGene00015647,WBGene00015647,History: N.A.
P0-F1,WBGene00001460,WBGene00001460,WBGene00001460,History: N.A.
P0-F1,WBGene00018349,WBGene00018349,WBGene00018349,History: N.A.
P0-F1,WBGene00009678,WBGene00009678,WBGene00009678,History: N.A.
P0-F1,WBGene00044686,WBGene00044686,WBGene00044686,History: N.A.
P0-F1,WBGene00302993,WBGene00302993,WBGene00302993,History: N.A.
P0-F1,WBGene00008999,WBGene00008999,WBGene00008999,History: N.A.
P0-F1,WBGene00013560,WBGene00013560,WBGene00013560,"History: Split into Y75B8A.63(WBGene00303096). History of WBGene00013560: Split into ""WBGene00303096"" on 2018-03-02"
P0-F1,WBGene00010507,WBGene00010507,WBGene00010507,History: N.A.
P0-F1,WBGene00077490,WBGene00077490,WBGene00077490,History: N.A.
P0-F1,WBGene00044762,WBGene00044762,WBGene00044762,History: N.A.
P0-F1,WBGene00020902,WBGene00020902,WBGene00020902,History: N.A.
P0-F1,WBGene00004923,WBGene00004923,WBGene00004923,History: N.A.
P0-F1,WBGene00004950,WBGene00004950,WBGene00004950,History: N.A.
P0-F1,WBGene00012383,WBGene00012383,WBGene00012383,History: N.A.
P0-F1,WBGene00001821,WBGene00001821,WBGene00001821,History: N.A.
P0-F1,WBGene00002069,WBGene00002069,WBGene00002069,History: N.A.
P0-F1,WBGene00008020,WBGene00008020,WBGene00008020,History: N.A.
P0-F1,WBGene00009343,WBGene00009343,WBGene00009343,History: Renamed on 2005-03-17
P0-F1,WBGene00018217,WBGene00018217,WBGene00018217,History: N.A.
P0-F1,WBGene00015055,WBGene00015055,WBGene00015055,History: N.A.
P0-F1,WBGene00003597,WBGene00003597,WBGene00003597,History: N.A.
P0-F1,WBGene00004004,WBGene00004004,WBGene00004004,History: N.A.
P0-F1,WBGene00016456,WBGene00016456,WBGene00016456,History: N.A.
P0-F1,WBGene00008748,WBGene00008748,WBGene00008748,History: N.A.
P0-F1,WBGene00014025,WBGene00014025,WBGene00014025,History: Renamed on 2007-02-16
P0-F1,WBGene00010803,WBGene00010803,WBGene00010803,History: N.A.
P0-F1,WBGene00000904,WBGene00000904,WBGene00000904,History: N.A.
P0-F1,WBGene00017950,WBGene00017950,WBGene00017950,History: N.A.
P0-F1,WBGene00013633,WBGene00013633,WBGene00013633,History: N.A.
P0-F1,WBGene00012317,WBGene00012317,WBGene00012317,History: Renamed on 2015-07-03
P0-F1,WBGene00004013,WBGene00004013,WBGene00004013,History: N.A.
P0-F1,WBGene00195233,WBGene00195233,WBGene00195233,History: N.A.
P0-F1,WBGene00000437,WBGene00000437,WBGene00000437,History: N.A.
P0-F1,WBGene00011755,WBGene00011755,WBGene00011755,History: N.A.
P0-F1,WBGene00003669,WBGene00003669,WBGene00003669,History: N.A.
P0-F1,WBGene00000289,WBGene00000289,WBGene00000289,History: N.A.
P0-F1,WBGene00012021,WBGene00012021,WBGene00012021,History: N.A.
P0-F1,WBGene00016135,WBGene00016135,WBGene00016135,History: N.A.
P0-F1,WBGene00011997,WBGene00011997,WBGene00011997,History: N.A.
P0-F1,WBGene00018403,WBGene00018403,WBGene00018403,History: N.A.
P0-F1,WBGene00002019,WBGene00002019,WBGene00002019,History: N.A.
P0-F1,WBGene00012164,WBGene00012164,WBGene00012164,"History: Split into W01A8.8(WBGene00044988). History of WBGene00012164: Split into ""WBGene00044988"" on 2006-09-07"
P0-F1,WBGene00020373,WBGene00020373,WBGene00020373,History: N.A.
P0-F1,WBGene00018144,WBGene00018144,WBGene00018144,History: N.A.
P0-F1,WBGene00015163,WBGene00015163,WBGene00015163,"History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
P0-F1,WBGene00017252,WBGene00017252,WBGene00017252,History: Renamed on 2005-12-13
P0-F1,WBGene00000458,WBGene00000458,WBGene00000458,History: N.A.
P0-F1,WBGene00011428,WBGene00011428,WBGene00011428,History: N.A.
P0-F1,WBGene00044176,WBGene00044176,WBGene00044176,History: N.A.
P0-F1,WBGene00044757,WBGene00044757,WBGene00044757,History: N.A.
P0-F1,WBGene00009854,WBGene00009854,WBGene00009854,History: N.A.
P0-F1,WBGene00000457,WBGene00000457,WBGene00000457,History: N.A.
P0-F1,WBGene00009657,WBGene00009657,WBGene00009657,History: N.A.
P0-F1,WBGene00008359,WBGene00008359,WBGene00008359,History: N.A.
P0-F1,WBGene00008298,WBGene00008298,WBGene00008298,History: N.A.
P0-F1,WBGene00007490,WBGene00007490,WBGene00007490,"History: Split into C09G5.13(WBGene00206538). History of WBGene00007490: Renamed on 2011-07-12; Split into ""WBGene00206538"" on 2011-08-01"
P0-F1,WBGene00019816,WBGene00019816,WBGene00019816,History: N.A.
P0-F1,WBGene00019868,WBGene00019868,WBGene00019868,History: N.A.
P0-F1,WBGene00006812,WBGene00006812,WBGene00006812,History: N.A.
P0-F1,WBGene00019927,WBGene00019927,WBGene00019927,History: N.A.
P0-F1,WBGene00011768,WBGene00011768,WBGene00011768,History: N.A.
P0-F1,WBGene00011726,WBGene00011726,WBGene00011726,History: N.A.
P0-F1,WBGene00003001,WBGene00003001,WBGene00003001,History: N.A.
P0-F1,WBGene00003646,WBGene00003646,WBGene00003646,History: N.A.
P0-F1,WBGene00008352,WBGene00008352,WBGene00008352,History: N.A.
P0-F1,WBGene00219313,WBGene00219313,WBGene00219313,History: N.A.
P0-F1,WBGene00003558,WBGene00003558,WBGene00003558,History: N.A.
P0-F1,WBGene00017143,WBGene00017143,WBGene00017143,History: N.A.
P0-F1,WBGene00013145,WBGene00013145,WBGene00013145,History: N.A.
P0-F1,WBGene00010484,WBGene00010484,WBGene00010484,History: N.A.
P0-F1,WBGene00016076,WBGene00016076,WBGene00016076,History: N.A.
P0-F1,WBGene00004129,WBGene00004129,WBGene00004129,History: N.A.
P0-F1,WBGene00002181,WBGene00002181,WBGene00002181,History: N.A.
P0-F1,WBGene00010028,WBGene00010028,WBGene00010028,History: N.A.
