# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Maternal and zygotic (1958),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000508,,,,WBGene00000508,WBGene00000508,History: N.A.
WBGene00000511,,,,WBGene00000511,WBGene00000511,History: N.A.
WBGene00000516,,,,WBGene00000516,WBGene00000516,History: N.A.
WBGene00000523,,,,WBGene00000523,WBGene00000523,History: N.A.
WBGene00000534,,,,WBGene00000534,WBGene00000534,History: Renamed on 2006-01-04
WBGene00000545,,,,WBGene00000545,WBGene00000545,History: N.A.
WBGene00000550,,,,WBGene00000550,WBGene00000550,History: N.A.
WBGene00000554,,,,WBGene00000554,WBGene00000554,History: N.A.
WBGene00000566,,,,WBGene00000566,WBGene00000566,History: N.A.
WBGene00000591,,,,WBGene00000591,WBGene00000591,History: N.A.
WBGene00000763,,,,WBGene00000763,WBGene00000763,History: N.A.
WBGene00000778,,,,WBGene00000778,WBGene00000778,History: N.A.
WBGene00000787,,,,WBGene00000787,WBGene00000787,History: N.A.
WBGene00000792,,,,WBGene00000792,WBGene00000792,History: N.A.
WBGene00000793,,,,WBGene00000793,WBGene00000793,History: N.A.
WBGene00000814,,,,WBGene00000814,WBGene00000814,History: N.A.
WBGene00000829,,,,WBGene00000829,WBGene00000829,History: N.A.
WBGene00000830,,,,WBGene00000830,WBGene00000830,History: N.A.
WBGene00000831,,,,WBGene00000831,WBGene00000831,History: N.A.
WBGene00000832,,,,WBGene00000832,WBGene00000832,History: N.A.
WBGene00000836,,,,WBGene00000836,WBGene00000836,History: N.A.
WBGene00000857,,,,WBGene00000857,WBGene00000857,History: N.A.
WBGene00000863,,,,WBGene00000863,WBGene00000863,History: N.A.
WBGene00000870,,,,WBGene00000870,WBGene00000870,History: N.A.
WBGene00000881,,,,WBGene00000881,WBGene00000881,History: N.A.
WBGene00000882,,,,WBGene00000882,WBGene00000882,History: N.A.
WBGene00000884,,,,WBGene00000884,WBGene00000884,History: N.A.
WBGene00000889,,,,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000891,,,,WBGene00000891,WBGene00000891,History: N.A.
WBGene00000892,,,,WBGene00000892,WBGene00000892,History: N.A.
WBGene00000899,,,,WBGene00000899,WBGene00000899,History: N.A.
WBGene00000901,,,,WBGene00000901,WBGene00000901,History: N.A.
WBGene00000904,,,,WBGene00000904,WBGene00000904,History: N.A.
WBGene00000910,,,,WBGene00000910,WBGene00000910,History: N.A.
WBGene00000929,,,,WBGene00000929,WBGene00000929,History: N.A.
