# Supplementary File 5,Sheet 8: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00021002,-3.31168825926836,-1.38525367331567,WBGene00021002,WBGene00021002,History: N.A.
WBGene00019662,-3.30569900968318,-1.87142434884259,WBGene00019662,WBGene00019662,History: N.A.
WBGene00077490,-3.29549009847042,-1.26244383650959,WBGene00077490,WBGene00077490,History: N.A.
WBGene00009724,-3.29478310692502,-1.62745294945859,WBGene00009724,WBGene00009724,History: N.A.
WBGene00001055,-3.28690020956703,-1.39053188114069,WBGene00001055,WBGene00001055,History: N.A.
WBGene00003968,-3.26344566218727,-1.23428422135099,WBGene00003968,WBGene00003968,History: N.A.
WBGene00006948,-3.21200833160766,-1.79174420916372,WBGene00006948,WBGene00006948,History: N.A.
WBGene00006947,-3.14218168021591,-1.0955363618116,WBGene00006947,WBGene00006947,History: N.A.
WBGene00008621,-3.09742815442839,-2.37513710272081,WBGene00008621,WBGene00008621,History: N.A.
WBGene00016953,-3.06389212966736,-2.81848995500008,WBGene00016953,WBGene00016953,History: N.A.
WBGene00001564,-3.02250773660269,-1.15066067244366,WBGene00001564,WBGene00001564,History: Renamed on 2010-11-16
WBGene00021079,-3.02124735158452,-1.12091520987683,WBGene00021079,WBGene00021079,History: N.A.
WBGene00016805,-3.01952559397068,-1.21702003387505,WBGene00016805,WBGene00016805,History: N.A.
WBGene00001119,-3.00057879450538,-3.61639247005041,WBGene00001119,WBGene00001119,History: N.A.
WBGene00008359,-2.95053751998935,-1.32170453571122,WBGene00008359,WBGene00008359,History: N.A.
WBGene00005003,-2.94280692032927,-1.17330658947597,WBGene00005003,WBGene00005003,History: N.A.
WBGene00020626,-2.90815573160434,-1.27863073378091,WBGene00020626,WBGene00020626,History: N.A.
WBGene00019868,-2.89884140706921,-1.97731883074476,WBGene00019868,WBGene00019868,History: N.A.
WBGene00001075,-2.86239035731125,-2.20275076719915,WBGene00001075,WBGene00001075,History: N.A.
WBGene00019436,-2.85184710850141,-1.0477458654645,WBGene00019436,WBGene00019436,History: N.A.
WBGene00020554,-2.83455190050426,-1.32744108313321,WBGene00020554,WBGene00020554,History: N.A.
WBGene00007398,-2.82030522255745,-1.08126078076049,WBGene00007398,WBGene00007398,History: N.A.
WBGene00022165,-2.81485304761608,-1.64727512331183,WBGene00022165,WBGene00022165,"History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
WBGene00008358,-2.80829542638603,-1.13071912816782,WBGene00008358,WBGene00008358,History: N.A.
WBGene00000695,-2.77477625218995,-2.19498177794218,WBGene00000695,WBGene00000695,History: Renamed on 2006-06-15
WBGene00008360,-2.76453317259635,-1.062615502794,WBGene00008360,WBGene00008360,History: N.A.
