# Supplementary File 3,Sheet 7: Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00021808,2.39768740234893,2.6224805506561,WBGene00021808,WBGene00021808,History: N.A.
WBGene00001880,2.3916720827571,1.90657788405563,WBGene00001880,WBGene00001880,History: N.A.
WBGene00018196,2.38533209603866,1.94462668084998,WBGene00018196,WBGene00018196,History: N.A.
WBGene00000057,2.35054269277246,1.94416225978224,WBGene00000057,WBGene00000057,History: N.A.
WBGene00011812,2.33299360834282,2.08187239677444,WBGene00011812,WBGene00011812,History: N.A.
WBGene00006819,2.32853819540817,2.02695973455162,WBGene00006819,WBGene00006819,History: N.A.
WBGene00006771,2.30847095753403,1.97770211423556,WBGene00006771,WBGene00006771,History: Renamed on 2011-08-12
WBGene00007281,2.29879727831923,2.38253466259456,WBGene00007281,WBGene00007281,History: N.A.
WBGene00001939,2.27762346595529,2.33242091229445,WBGene00001939,WBGene00001939,History: N.A.
WBGene00015488,2.24275831004882,1.67503104980948,WBGene00015488,WBGene00015488,History: N.A.
WBGene00014450,2.22450979365334,1.4778196441882,WBGene00014450,WBGene00014450,History: N.A.
WBGene00015230,2.15557424550683,1.90608059107516,WBGene00015230,WBGene00015230,History: N.A.
WBGene00010294,2.05617097071421,2.1029368334254,WBGene00010294,WBGene00010294,History: N.A.
WBGene00003040,2.04855932966766,2.14102200117851,WBGene00003040,WBGene00003040,History: N.A.
WBGene00007752,1.99414177027761,2.08766250496854,WBGene00007752,WBGene00007752,"History: Split into C26H9A.4(WBGene00303042). History of WBGene00007752: Split into ""WBGene00303042"" on 2018-03-02"
WBGene00014461,1.90484084811062,1.31843735845187,WBGene00014461,WBGene00014461,History: N.A.
WBGene00011291,1.90196444428214,1.74153004363194,WBGene00011291,WBGene00011291,History: N.A.
WBGene00000224,1.87556380403785,1.48358034484938,WBGene00000224,WBGene00000224,History: Renamed on 2008-02-28
WBGene00017796,1.86395624291328,2.00272748238089,WBGene00017796,WBGene00017796,History: N.A.
WBGene00021107,1.81586183111867,1.9380342178436,WBGene00021107,WBGene00021107,History: N.A.
WBGene00003235,1.79982902057666,1.42798486236309,WBGene00003235,WBGene00003235,History: N.A.
WBGene00019994,1.76275391518685,1.18141900505348,WBGene00019994,WBGene00019994,History: N.A.
WBGene00017186,1.75882413521577,1.9615753748497,WBGene00017186,WBGene00017186,History: N.A.
WBGene00001937,1.73032863112131,1.3976895484647,WBGene00001937,WBGene00001937,History: N.A.
WBGene00000237,1.72903701142224,2.22113605885895,WBGene00000237,WBGene00000237,History: N.A.
WBGene00015344,1.70077105187818,1.49480686228057,WBGene00015344,WBGene00015344,History: N.A.
WBGene00001919,1.68409485230281,1.33148195503985,WBGene00001919,WBGene00001919,History: N.A.
WBGene00004357,1.65544746356383,1.89461262202997,WBGene00004357,WBGene00004357,History: N.A.
WBGene00012423,1.65081254779055,1.86059665598691,WBGene00012423,WBGene00012423,History: N.A.
WBGene00013419,1.61301815521287,1.83921374887327,WBGene00013419,WBGene00013419,History: N.A.
WBGene00003068,1.60512307952504,1.44192298021885,WBGene00003068,WBGene00003068,History: N.A.
WBGene00014456,1.59211742086611,1.30132498285142,WBGene00014456,WBGene00014456,History: N.A.
WBGene00013531,1.58150865480053,1.6706085398126,WBGene00013531,WBGene00013531,History: N.A.
WBGene00044177,1.56445596612615,1.51690772800141,WBGene00044177,WBGene00044177,History: N.A.
WBGene00001032,1.54572273043391,1.6422416411667,WBGene00001032,WBGene00001032,History: N.A.
WBGene00009370,1.54050121833933,1.31444130007918,WBGene00009370,WBGene00009370,History: N.A.
WBGene00013835,1.52831052141647,1.28652673224181,WBGene00013835,WBGene00013835,History: N.A.
WBGene00010293,1.48394544281959,1.40477127440558,WBGene00010293,WBGene00010293,History: N.A.
WBGene00022165,1.47393051993022,1.31178491358252,WBGene00022165,WBGene00022165,"History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
WBGene00021357,1.45015230953254,1.38279875218936,WBGene00021357,WBGene00021357,History: N.A.
WBGene00015229,1.43883953975417,1.61340310601967,WBGene00015229,WBGene00015229,History: N.A.
WBGene00003941,1.43317125399157,1.45567546485743,WBGene00003941,WBGene00003941,History: N.A.
WBGene00044894,1.42079821702103,1.59954993272615,WBGene00044894,WBGene00044894,History: N.A.
WBGene00006062,1.41077489520407,1.20670417226687,WBGene00006062,WBGene00006062,History: N.A.
WBGene00014466,1.40775285568993,1.10588429129538,WBGene00014466,WBGene00014466,History: N.A.
WBGene00017080,1.39199879583866,1.58378196358508,WBGene00017080,WBGene00017080,History: N.A.
WBGene00001929,1.37211159085165,1.06184304844825,WBGene00001929,WBGene00001929,History: N.A.
WBGene00021088,1.36809583334391,1.17714047563309,WBGene00021088,WBGene00021088,History: N.A.
WBGene00007385,1.3478430119058,1.11219449341334,WBGene00007385,WBGene00007385,History: N.A.
WBGene00003947,1.34291063933504,1.36542890872311,WBGene00003947,WBGene00003947,History: N.A.
WBGene00014117,1.33974574567979,1.16789455146021,WBGene00014117,WBGene00014117,History: N.A.
WBGene00022127,1.3344233098431,1.06613752297096,WBGene00022127,WBGene00022127,History: N.A.
WBGene00004915,1.30826409243034,1.15898000124773,WBGene00004915,WBGene00004915,History: N.A.
WBGene00015248,1.30420182942261,1.18939040150064,WBGene00015248,WBGene00015248,History: N.A.
WBGene00009646,1.2998204663218,1.62236336258413,WBGene00009646,WBGene00009646,History: N.A.
WBGene00018099,1.29966628045155,1.17425483818385,WBGene00018099,WBGene00018099,History: N.A.
WBGene00014452,1.29658797533918,1.04093148717556,WBGene00014452,WBGene00014452,History: N.A.
WBGene00007986,1.29341189911859,1.31100619235128,WBGene00007986,WBGene00007986,History: N.A.
WBGene00018491,1.29046696706731,1.12965441692527,WBGene00018491,WBGene00018491,History: N.A.
WBGene00003948,1.28813315486529,1.15514176709135,WBGene00003948,WBGene00003948,History: N.A.
WBGene00012643,1.27937017942988,1.28265216834181,WBGene00012643,WBGene00012643,History: N.A.
WBGene00012758,1.26859128724797,1.42657754138885,WBGene00012758,WBGene00012758,History: N.A.
WBGene00021351,1.25267632619391,1.0075956268703,WBGene00021351,WBGene00021351,History: N.A.
WBGene00003130,1.24787169602597,1.19410374825407,WBGene00003130,WBGene00003130,History: N.A.
WBGene00014955,1.24616872744054,1.77287975236373,WBGene00014955,WBGene00014955,History: N.A.
WBGene00015478,1.23953641816242,1.72736723586349,WBGene00015478,WBGene00015478,History: Renamed on 2018-05-24
WBGene00002196,1.23619307503447,1.14131088100871,WBGene00002196,WBGene00002196,History: N.A.
WBGene00015765,1.23402093374936,1.11089027474034,WBGene00015765,WBGene00015765,History: N.A.
WBGene00012564,1.23251338642312,1.57672327967247,WBGene00012564,WBGene00012564,History: N.A.
WBGene00004504,1.23002649858823,1.16604572169978,WBGene00004504,WBGene00004504,History: N.A.
WBGene00022589,1.2298850208233,1.04768938204728,WBGene00022589,WBGene00022589,History: N.A.
WBGene00002025,1.22477536900646,1.08096124368243,WBGene00002025,WBGene00002025,History: N.A.
WBGene00012344,1.21483533112557,1.32001401644167,WBGene00012344,WBGene00012344,History: Renamed on 2012-12-21
WBGene00004421,1.20047891137686,1.15435059844576,WBGene00004421,WBGene00004421,History: N.A.
WBGene00015994,1.18966891105593,1.21311263039537,WBGene00015994,WBGene00015994,History: N.A.
WBGene00004502,1.18792209183867,1.29366028464021,WBGene00004502,WBGene00004502,History: N.A.
WBGene00003951,1.1868597008004,1.26114584921577,WBGene00003951,WBGene00003951,History: N.A.
WBGene00012148,1.18421477249128,1.35098568139282,WBGene00012148,WBGene00012148,History: N.A.
WBGene00019983,1.17600352668839,1.0636350737368,WBGene00019983,WBGene00019983,History: N.A.
WBGene00009122,1.17527224802733,1.01284643654839,WBGene00009122,WBGene00009122,History: N.A.
WBGene00021239,1.17308423643695,1.14470965397498,WBGene00021239,WBGene00021239,History: N.A.
WBGene00011063,1.16967007816261,1.26443102554182,WBGene00011063,WBGene00011063,History: N.A.
WBGene00011735,1.16842348672242,1.2328053877103,WBGene00011735,WBGene00011735,History: N.A.
WBGene00008506,1.15859365866185,1.17015755094745,WBGene00008506,WBGene00008506,History: N.A.
WBGene00003928,1.15611720796033,1.01806839044587,WBGene00003928,WBGene00003928,History: N.A.
WBGene00021466,1.14011206957602,1.20561709974827,WBGene00021466,WBGene00021466,History: N.A.
WBGene00001940,1.13975552865533,1.20806106729431,WBGene00001940,WBGene00001940,History: N.A.
WBGene00219822,1.13879004700617,1.07181787383877,WBGene00219822,WBGene00219822,History: N.A.
WBGene00021562,1.13848092411023,1.13885958898971,WBGene00021562,WBGene00021562,History: Renamed on 2008-02-26
WBGene00018586,1.13681357288311,1.01593429218828,WBGene00018586,WBGene00018586,History: N.A.
WBGene00004467,1.13311301580603,1.2264656610355,WBGene00004467,WBGene00004467,History: N.A.
WBGene00004466,1.12354428247088,1.09481618134952,WBGene00004466,WBGene00004466,History: N.A.
WBGene00004477,1.12157296699034,1.32378106951392,WBGene00004477,WBGene00004477,History: N.A.
WBGene00013168,1.11307014640669,1.13215124644929,WBGene00013168,WBGene00013168,History: N.A.
WBGene00012964,1.11278181847372,1.06246944757385,WBGene00012964,WBGene00012964,History: N.A.
WBGene00022166,1.10499700114012,1.12331612174505,WBGene00022166,WBGene00022166,History: N.A.
WBGene00012738,1.10384495038992,1.09696045405701,WBGene00012738,WBGene00012738,History: N.A.
WBGene00013345,1.10150083279746,1.01516057317896,WBGene00013345,WBGene00013345,"History: Split into Y59A8B.25(WBGene00044794). History of WBGene00013345: Split into ""WBGene00044794"" on 2006-03-23"
WBGene00017984,1.09647332126213,1.21624528014262,WBGene00017984,WBGene00017984,History: N.A.
WBGene00003953,1.09245840897285,1.151505547101,WBGene00003953,WBGene00003953,History: N.A.
WBGene00001131,1.08497030558339,1.07076333308228,WBGene00001131,WBGene00001131,History: N.A.
WBGene00003955,1.08221287773782,1.06290103843943,WBGene00003955,WBGene00003955,History: N.A.
WBGene00013150,1.08162103874097,1.15482605989188,WBGene00013150,WBGene00013150,History: N.A.
