# Supplementary File 3,Sheet 4: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for one generation.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00007489,-4.23470825157623,WBGene00007489,WBGene00007489,History: N.A.
WBGene00022441,-4.23229352915447,WBGene00022441,WBGene00022441,History: N.A.
WBGene00013736,-4.19506189971942,WBGene00013736,WBGene00013736,History: N.A.
WBGene00022315,-4.18577526018724,WBGene00022315,WBGene00022315,History: N.A.
WBGene00012486,-4.16777659960284,WBGene00012486,WBGene00012486,History: N.A.
WBGene00001764,-4.15145208359751,WBGene00001764,WBGene00001764,History: N.A.
WBGene00005061,-4.14132972995283,WBGene00005061,WBGene00005061,History: N.A.
WBGene00007722,-4.13929116392865,WBGene00007722,WBGene00007722,History: N.A.
WBGene00012717,-4.13789463301707,WBGene00012717,WBGene00012717,History: N.A.
WBGene00013777,-4.11159494297748,WBGene00013777,WBGene00013777,History: N.A.
WBGene00002015,-4.1070758733707,WBGene00002015,WBGene00002015,History: N.A.
WBGene00021913,-4.10055555770013,WBGene00021913,WBGene00021913,History: N.A.
WBGene00007672,-4.08696226429926,WBGene00007672,WBGene00007672,History: N.A.
WBGene00012144,-4.08621388372708,WBGene00012144,WBGene00012144,History: N.A.
WBGene00003093,-4.07759119681562,WBGene00003093,WBGene00003093,History: N.A.
WBGene00016165,-4.06133709069101,WBGene00016165,WBGene00016165,History: N.A.
WBGene00023209,-4.06032207107297,WBGene00023209,WBGene00023209,History: N.A.
WBGene00219455,-4.05789266320913,WBGene00219455,WBGene00219455,History: N.A.
WBGene00008690,-4.05366760737071,WBGene00008690,WBGene00008690,History: N.A.
WBGene00019261,-4.0500715390147,WBGene00019261,WBGene00019261,History: N.A.
WBGene00021834,-4.04898520204581,WBGene00021834,WBGene00021834,History: N.A.
WBGene00022511,-4.04780785405169,WBGene00022511,WBGene00022511,History: N.A.
WBGene00017737,-4.04731273145534,WBGene00017737,WBGene00017737,History: N.A.
WBGene00002100,-4.03713804539208,WBGene00002100,WBGene00002100,History: N.A.
WBGene00002265,-4.03680140934179,WBGene00002265,WBGene00002265,History: N.A.
WBGene00011393,-4.03118507642814,WBGene00011393,WBGene00011393,History: N.A.
WBGene00015115,-4.02727879516461,WBGene00015115,WBGene00015115,History: N.A.
WBGene00000784,-4.01428230950479,WBGene00000784,WBGene00000784,History: N.A.
WBGene00020318,-4.00181204736704,WBGene00020318,WBGene00020318,History: N.A.
WBGene00044468,-4.00038310907015,WBGene00044468,WBGene00044468,History: N.A.
WBGene00007405,-3.99668862164295,WBGene00007405,WBGene00007405,History: N.A.
WBGene00013623,-3.9903264531314,WBGene00013623,WBGene00013623,History: N.A.
WBGene00012238,-3.96416827593971,WBGene00012238,WBGene00012238,History: N.A.
WBGene00020540,-3.95893187560109,WBGene00020540,WBGene00020540,History: N.A.
WBGene00045043,-3.94691569966789,WBGene00045043,WBGene00045043,History: N.A.
WBGene00017099,-3.9464774634881,WBGene00017099,WBGene00017099,History: N.A.
WBGene00021927,-3.93427178501029,WBGene00021927,WBGene00021927,History: N.A.
WBGene00219218,-3.92499690989774,WBGene00219218,WBGene00219218,History: N.A.
WBGene00001745,-3.92488230268478,WBGene00001745,WBGene00001745,History: N.A.
