# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE = 0 ± 0.1,Unnamed: 1,Input,Suggested Match,History
WBGene00021386,,WBGene00021386,WBGene00021386,History: N.A.
WBGene00011344,,WBGene00011344,WBGene00011344,History: N.A.
WBGene00013000,,WBGene00013000,WBGene00013000,History: N.A.
WBGene00013175,,WBGene00013175,WBGene00013175,History: N.A.
WBGene00022795,,WBGene00022795,WBGene00022795,History: N.A.
WBGene00019274,,WBGene00019274,WBGene00019274,History: N.A.
WBGene00006624,,WBGene00006624,WBGene00006624,History: N.A.
WBGene00012696,,WBGene00012696,WBGene00012696,History: N.A.
WBGene00021153,,WBGene00021153,WBGene00021153,History: N.A.
WBGene00019651,,WBGene00019651,WBGene00019651,History: N.A.
WBGene00022681,,WBGene00022681,WBGene00022681,History: N.A.
WBGene00010000,,WBGene00010000,WBGene00010000,History: N.A.
WBGene00044003,,WBGene00044003,WBGene00044003,History: N.A.
WBGene00015189,,WBGene00015189,WBGene00015189,History: N.A.
WBGene00017121,,WBGene00017121,WBGene00017121,History: N.A.
WBGene00020066,,WBGene00020066,WBGene00020066,History: N.A.
WBGene00008660,,WBGene00008660,WBGene00008660,History: N.A.
WBGene00000007,,WBGene00000007,WBGene00000007,History: N.A.
WBGene00007045,,WBGene00007045,WBGene00007045,History: Renamed on 2018-12-11
WBGene00018980,,WBGene00018980,WBGene00018980,History: N.A.
WBGene00018143,,WBGene00018143,WBGene00018143,History: N.A.
WBGene00021855,,WBGene00021855,WBGene00021855,History: N.A.
WBGene00012789,,WBGene00012789,WBGene00012789,History: N.A.
WBGene00010459,,WBGene00010459,WBGene00010459,History: N.A.
WBGene00015690,,WBGene00015690,WBGene00015690,History: N.A.
WBGene00010681,,WBGene00010681,WBGene00010681,History: N.A.
WBGene00013212,,WBGene00013212,WBGene00013212,"History: Split into Y54G11A.19(WBGene00235256). History of WBGene00013212: Split into ""WBGene00235256"" on 2013-09-04"
WBGene00010460,,WBGene00010460,WBGene00010460,History: N.A.
WBGene00020942,,WBGene00020942,WBGene00020942,History: N.A.
WBGene00006608,,WBGene00006608,WBGene00006608,History: N.A.
WBGene00007863,,WBGene00007863,WBGene00007863,History: N.A.
WBGene00006546,,WBGene00006546,WBGene00006546,History: N.A.
WBGene00013713,,WBGene00013713,WBGene00013713,History: N.A.
WBGene00012735,,WBGene00012735,WBGene00012735,History: N.A.
WBGene00044423,,WBGene00044423,WBGene00044423,History: N.A.
WBGene00020974,,WBGene00020974,WBGene00020974,History: N.A.
WBGene00018797,,WBGene00018797,WBGene00018797,History: N.A.
WBGene00019677,,WBGene00019677,WBGene00019677,History: N.A.
WBGene00020653,,WBGene00020653,WBGene00020653,History: N.A.
WBGene00019257,,WBGene00019257,WBGene00019257,History: N.A.
WBGene00044762,,WBGene00044762,WBGene00044762,History: N.A.
WBGene00022113,,WBGene00022113,WBGene00022113,History: N.A.
WBGene00018314,,WBGene00018314,WBGene00018314,"History: Merged into ""WBGene00018315"" on 2004-11-29; Resurrected on 2013-10-08"
WBGene00017817,,WBGene00017817,WBGene00017817,History: N.A.
WBGene00022003,,WBGene00022003,WBGene00022003,History: N.A.
WBGene00010147,,WBGene00010147,WBGene00010147,History: N.A.
WBGene00007513,,WBGene00007513,WBGene00007513,History: N.A.
WBGene00019153,,WBGene00019153,WBGene00019153,History: N.A.
WBGene00022010,,WBGene00022010,WBGene00022010,History: N.A.
WBGene00010081,,WBGene00010081,WBGene00010081,History: N.A.
WBGene00013052,,WBGene00013052,WBGene00013052,History: N.A.
WBGene00022617,,WBGene00022617,WBGene00022617,History: N.A.
WBGene00015215,,WBGene00015215,WBGene00015215,History: N.A.
WBGene00007601,,WBGene00007601,WBGene00007601,History: N.A.
WBGene00018819,,WBGene00018819,WBGene00018819,History: Renamed on 2011-05-06
WBGene00021546,,WBGene00021546,WBGene00021546,History: N.A.
WBGene00008052,,WBGene00008052,WBGene00008052,History: Renamed on 2017-02-17
WBGene00008530,,WBGene00008530,WBGene00008530,History: N.A.
WBGene00007102,,WBGene00007102,WBGene00007102,History: N.A.
WBGene00022532,,WBGene00022532,WBGene00022532,History: N.A.
WBGene00012002,,WBGene00012002,WBGene00012002,History: N.A.
WBGene00015942,,WBGene00015942,WBGene00015942,History: N.A.
WBGene00019425,,WBGene00019425,WBGene00019425,History: N.A.
WBGene00000259,,WBGene00000259,WBGene00000259,History: N.A.
WBGene00010378,,WBGene00010378,WBGene00010378,History: N.A.
WBGene00014157,,WBGene00014157,WBGene00014157,History: N.A.
WBGene00009893,,WBGene00009893,WBGene00009893,History: N.A.
WBGene00016902,,WBGene00016902,WBGene00016902,History: N.A.
WBGene00021781,,WBGene00021781,WBGene00021781,History: N.A.
WBGene00007226,,WBGene00007226,WBGene00007226,History: N.A.
WBGene00003246,,WBGene00003246,WBGene00003246,History: N.A.
WBGene00016019,,WBGene00016019,WBGene00016019,History: N.A.
WBGene00010846,,WBGene00010846,WBGene00010846,History: N.A.
WBGene00020978,,WBGene00020978,WBGene00020978,History: N.A.
WBGene00044358,,WBGene00044358,WBGene00044358,History: N.A.
WBGene00008556,,WBGene00008556,WBGene00008556,History: N.A.
WBGene00007979,,WBGene00007979,WBGene00007979,History: N.A.
WBGene00021998,,WBGene00021998,WBGene00021998,History: N.A.
