# Supplementary File 3,Sheet 9: Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00007752,2.40600018618021,2.01110449227745,WBGene00007752,WBGene00007752,"History: Split into C26H9A.4(WBGene00303042). History of WBGene00007752: Split into ""WBGene00303042"" on 2018-03-02"
WBGene00011812,2.38451906449568,1.55790017618205,WBGene00011812,WBGene00011812,History: N.A.
WBGene00004747,2.38170359643991,2.17723457163859,WBGene00004747,WBGene00004747,History: N.A.
WBGene00001169,2.36513564464697,1.61988350310662,WBGene00001169,WBGene00001169,History: Renamed on 2010-08-03
WBGene00001876,2.34600371605274,1.71569827796875,WBGene00001876,WBGene00001876,History: N.A.
WBGene00012423,2.30088948782471,1.68146437908571,WBGene00012423,WBGene00012423,History: N.A.
WBGene00006771,2.29818360205109,1.44629213742615,WBGene00006771,WBGene00006771,History: Renamed on 2011-08-12
WBGene00006819,2.2865347829807,1.64559219844636,WBGene00006819,WBGene00006819,History: N.A.
WBGene00001937,2.27327250874146,1.49876310149006,WBGene00001937,WBGene00001937,History: N.A.
WBGene00020183,2.23796279189965,1.71769561920204,WBGene00020183,WBGene00020183,History: N.A.
WBGene00001919,2.21957028592383,1.3844053302497,WBGene00001919,WBGene00001919,History: N.A.
WBGene00013345,2.19483601478189,1.21047509742217,WBGene00013345,WBGene00013345,"History: Split into Y59A8B.25(WBGene00044794). History of WBGene00013345: Split into ""WBGene00044794"" on 2006-03-23"
WBGene00001929,2.15287093028884,1.3092669236662,WBGene00001929,WBGene00001929,History: N.A.
WBGene00012237,2.13775711121716,3.10452554343407,WBGene00012237,WBGene00012237,History: N.A.
WBGene00008779,2.12116842273268,2.1927774627964,WBGene00008779,WBGene00008779,History: N.A.
WBGene00017080,2.04084340368947,1.65129011281521,WBGene00017080,WBGene00017080,History: N.A.
WBGene00000057,2.03232537045321,1.88560200982508,WBGene00000057,WBGene00000057,History: N.A.
WBGene00003040,1.97210880160622,1.76466764144656,WBGene00003040,WBGene00003040,History: N.A.
