# Supplementary File 5,Sheet 4: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for one generation.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00195051,-4.48129139102844,WBGene00195051,WBGene00195051,History: N.A.
WBGene00202495,-4.44831174862912,WBGene00202495,WBGene00202495,History: N.A.
WBGene00044709,-4.44416268181584,WBGene00044709,WBGene00044709,History: N.A.
WBGene00007806,-4.43656352271942,WBGene00007806,WBGene00007806,History: N.A.
WBGene00022827,-4.41792538573211,WBGene00022827,WBGene00022827,History: N.A.
WBGene00022024,-4.40464169848845,WBGene00022024,WBGene00022024,History: N.A.
WBGene00000740,-4.40163759685355,WBGene00000740,WBGene00000740,History: N.A.
WBGene00202514,-4.38817313030468,WBGene00202514,WBGene00202514,History: N.A.
WBGene00000893,-4.38640872874454,WBGene00000893,WBGene00000893,"History: Split into ZC250.5(WBGene00045306). History of WBGene00000893: Split into ""WBGene00045306"" on 2007-03-02"
WBGene00022320,-4.38439946777051,WBGene00022320,WBGene00022320,History: N.A.
WBGene00235271,-4.37571188322733,WBGene00235271,WBGene00235271,History: N.A.
WBGene00015600,-4.37504908072077,WBGene00015600,WBGene00015600,History: N.A.
WBGene00001691,-4.34753775874336,WBGene00001691,WBGene00001691,History: N.A.
WBGene00012070,-4.33155525436581,WBGene00012070,WBGene00012070,History: N.A.
WBGene00000555,-4.330245497112,WBGene00000555,WBGene00000555,History: N.A.
WBGene00019508,-4.32575739039943,WBGene00019508,WBGene00019508,History: N.A.
WBGene00015679,-4.31969761682066,WBGene00015679,WBGene00015679,History: N.A.
WBGene00019054,-4.30229209093862,WBGene00019054,WBGene00019054,History: N.A.
WBGene00044707,-4.30121545659252,WBGene00044707,WBGene00044707,History: N.A.
WBGene00014979,-4.29897815590648,WBGene00014979,WBGene00014979,History: N.A.
WBGene00001724,-4.29549169936996,WBGene00001724,WBGene00001724,History: N.A.
WBGene00002102,-4.28475683308043,WBGene00002102,WBGene00002102,History: N.A.
WBGene00012346,-4.2712606073951,WBGene00012346,WBGene00012346,History: N.A.
WBGene00007868,-4.27119465029537,WBGene00007868,WBGene00007868,History: N.A.
WBGene00011254,-4.26072648161587,WBGene00011254,WBGene00011254,History: N.A.
WBGene00019533,-4.25655859047226,WBGene00019533,WBGene00019533,"History: Split into K08D10.14(WBGene00219216). History of WBGene00019533: Split into ""WBGene00219216"" on 2011-08-24"
WBGene00017821,-4.25264933570172,WBGene00017821,WBGene00017821,History: N.A.
WBGene00019887,-4.2490920542782,WBGene00019887,WBGene00019887,History: N.A.
WBGene00044427,-4.24297722533263,WBGene00044427,WBGene00044427,History: N.A.
WBGene00022713,-4.24139023301167,WBGene00022713,WBGene00022713,History: N.A.
WBGene00011266,-4.22631473127047,WBGene00011266,WBGene00011266,History: N.A.
WBGene00017509,-4.21909523304667,WBGene00017509,WBGene00017509,History: N.A.
WBGene00017307,-4.21474643130887,WBGene00017307,WBGene00017307,History: N.A.
WBGene00007659,-4.21343653513972,WBGene00007659,WBGene00007659,History: N.A.
WBGene00011075,-4.21153651171838,WBGene00011075,WBGene00011075,History: N.A.
WBGene00003114,-4.20806057789319,WBGene00003114,WBGene00003114,History: N.A.
WBGene00020946,-4.20156136043826,WBGene00020946,WBGene00020946,History: N.A.
WBGene00009496,-4.19893316049605,WBGene00009496,WBGene00009496,History: N.A.
WBGene00044113,-4.19461486226843,WBGene00044113,WBGene00044113,History: N.A.
WBGene00018640,-4.17919426734814,WBGene00018640,WBGene00018640,History: N.A.
WBGene00017014,-4.17669641324477,WBGene00017014,WBGene00017014,History: N.A.
WBGene00010267,-4.17444468374226,WBGene00010267,WBGene00010267,History: N.A.
WBGene00019314,-4.17133867082925,WBGene00019314,WBGene00019314,History: N.A.
WBGene00235307,-4.16606329352938,WBGene00235307,WBGene00235307,History: N.A.
WBGene00006775,-4.15706453784594,WBGene00006775,WBGene00006775,History: N.A.
WBGene00010209,-4.1544999064145,WBGene00010209,WBGene00010209,History: N.A.
WBGene00086560,-4.15338884766312,WBGene00086560,WBGene00086560,History: N.A.
WBGene00016670,-4.14691602492662,WBGene00016670,WBGene00016670,History: N.A.
WBGene00004102,-4.14677198052752,WBGene00004102,WBGene00004102,"History: Split into C09E7.11(WBGene00305970). History of WBGene00004102: Split into ""WBGene00305970"" on 2020-01-20"
WBGene00016164,-4.14082850784266,WBGene00016164,WBGene00016164,History: N.A.
WBGene00077697,-4.13772404469217,WBGene00077697,WBGene00077697,History: N.A.
WBGene00206509,-4.13712642175656,WBGene00206509,WBGene00206509,History: N.A.
WBGene00010295,-4.12957442234462,WBGene00010295,WBGene00010295,History: N.A.
WBGene00005795,-4.12915197738261,WBGene00005795,WBGene00005795,History: N.A.
WBGene00077766,-4.11920607718008,WBGene00077766,WBGene00077766,History: N.A.
WBGene00015225,-4.11900832840468,WBGene00015225,WBGene00015225,History: N.A.
WBGene00010509,-4.11347986452966,WBGene00010509,WBGene00010509,History: N.A.
WBGene00045096,-4.10582448127035,WBGene00045096,WBGene00045096,History: N.A.
WBGene00007210,-4.09685064783516,WBGene00007210,WBGene00007210,History: Renamed on 2015-03-25
WBGene00008591,-4.09615667122753,WBGene00008591,WBGene00008591,History: N.A.
WBGene00044373,-4.09597235637802,WBGene00044373,WBGene00044373,History: N.A.
WBGene00016175,-4.09140504671734,WBGene00016175,WBGene00016175,History: N.A.
WBGene00044138,-4.07626903404572,WBGene00044138,WBGene00044138,History: N.A.
WBGene00001705,-4.07613254120389,WBGene00001705,WBGene00001705,History: N.A.
WBGene00022339,-4.06828967779776,WBGene00022339,WBGene00022339,History: N.A.
WBGene00002012,-4.06415652630104,WBGene00002012,WBGene00002012,History: N.A.
WBGene00012133,-4.05841348253041,WBGene00012133,WBGene00012133,History: N.A.
WBGene00001957,-4.05415324174753,WBGene00001957,WBGene00001957,History: N.A.
WBGene00011427,-4.0469646899161,WBGene00011427,WBGene00011427,"History: Split into T04C12.11(WBGene00077693). History of WBGene00011427: Split into ""WBGene00077693"" on 2008-03-27"
WBGene00003377,-4.03938231636485,WBGene00003377,WBGene00003377,History: N.A.
WBGene00045460,-4.03478869250325,WBGene00045460,WBGene00045460,History: N.A.
WBGene00020863,-4.02664911662964,WBGene00020863,WBGene00020863,History: N.A.
WBGene00016254,-4.00231137407389,WBGene00016254,WBGene00016254,History: N.A.
WBGene00017351,-4.00196492973753,WBGene00017351,WBGene00017351,History: N.A.
WBGene00011594,-3.99576536295542,WBGene00011594,WBGene00011594,History: N.A.
WBGene00014161,-3.98972411903957,WBGene00014161,WBGene00014161,History: N.A.
WBGene00005719,-3.98667521137311,WBGene00005719,WBGene00005719,History: N.A.
WBGene00008285,-3.98667521137311,WBGene00008285,WBGene00008285,History: N.A.
WBGene00044801,-3.98667521137311,WBGene00044801,WBGene00044801,"History: Split into ZC262.11(WBGene00206468). History of WBGene00044801: Split into ""WBGene00206468"" on 2011-03-28"
WBGene00044802,-3.98667521137311,WBGene00044802,WBGene00044802,"History: Split into ZC262.12(WBGene00206477). History of WBGene00044802: Split into ""WBGene00206477"" on 2011-04-26"
WBGene00086562,-3.98262249950463,WBGene00086562,WBGene00086562,History: N.A.
WBGene00008906,-3.97609780921678,WBGene00008906,WBGene00008906,"History: Split into F17B5.10(WBGene00138716). History of WBGene00008906: Split into ""WBGene00138716"" on 2008-09-12"
WBGene00235311,-3.97609780921678,WBGene00235311,WBGene00235311,History: N.A.
WBGene00008014,-3.95945965912947,WBGene00008014,WBGene00008014,History: N.A.
WBGene00010978,-3.94617092162926,WBGene00010978,WBGene00010978,History: N.A.
WBGene00000750,-3.94542051110331,WBGene00000750,WBGene00000750,History: N.A.
WBGene00018092,-3.94248202790751,WBGene00018092,WBGene00018092,History: N.A.
WBGene00019839,-3.93646018033259,WBGene00019839,WBGene00019839,History: N.A.
WBGene00206502,-3.92632611517382,WBGene00206502,WBGene00206502,History: N.A.
WBGene00009599,-3.90565836029696,WBGene00009599,WBGene00009599,History: N.A.
WBGene00018108,-3.89576453263319,WBGene00018108,WBGene00018108,History: N.A.
WBGene00021491,-3.89175874983219,WBGene00021491,WBGene00021491,History: N.A.
WBGene00019184,-3.88815958362806,WBGene00019184,WBGene00019184,History: N.A.
WBGene00007949,-3.88763209181258,WBGene00007949,WBGene00007949,"History: Split into C35A5.10(WBGene00044016). History of WBGene00007949: Split into ""WBGene00044016"" on 2004-12-03"
WBGene00015599,-3.88758388949563,WBGene00015599,WBGene00015599,History: N.A.
WBGene00010182,-3.87808319364798,WBGene00010182,WBGene00010182,History: N.A.
WBGene00001477,-3.86206984525278,WBGene00001477,WBGene00001477,History: N.A.
WBGene00015292,-3.85948937287989,WBGene00015292,WBGene00015292,History: N.A.
WBGene00235287,-3.85948937287989,WBGene00235287,WBGene00235287,History: N.A.
WBGene00016598,-3.85789826629668,WBGene00016598,WBGene00016598,History: N.A.
WBGene00020983,-3.85742396226579,WBGene00020983,WBGene00020983,History: N.A.
WBGene00008539,-3.8514464297371,WBGene00008539,WBGene00008539,History: N.A.
WBGene00044662,-3.85023591114651,WBGene00044662,WBGene00044662,History: N.A.
WBGene00020571,-3.81637025626812,WBGene00020571,WBGene00020571,History: N.A.
WBGene00007758,-3.80831446097585,WBGene00007758,WBGene00007758,History: N.A.
WBGene00044960,-3.79190994488671,WBGene00044960,WBGene00044960,History: N.A.
WBGene00012673,-3.79065944019399,WBGene00012673,WBGene00012673,History: N.A.
WBGene00005446,-3.78625171392048,WBGene00005446,WBGene00005446,History: N.A.
WBGene00016923,-3.76956944928761,WBGene00016923,WBGene00016923,History: N.A.
WBGene00012391,-3.76486938731751,WBGene00012391,WBGene00012391,History: N.A.
WBGene00000705,-3.74931021336974,WBGene00000705,WBGene00000705,History: N.A.
WBGene00009526,-3.74927200040218,WBGene00009526,WBGene00009526,History: N.A.
WBGene00020250,-3.74604622862544,WBGene00020250,WBGene00020250,History: N.A.
WBGene00019154,-3.73451811859941,WBGene00019154,WBGene00019154,History: N.A.
WBGene00015593,-3.73343409261752,WBGene00015593,WBGene00015593,History: N.A.
WBGene00010033,-3.72108204773411,WBGene00010033,WBGene00010033,History: N.A.
WBGene00019482,-3.71966626786633,WBGene00019482,WBGene00019482,History: N.A.
WBGene00017073,-3.71751266323378,WBGene00017073,WBGene00017073,History: N.A.
WBGene00008851,-3.71599102304803,WBGene00008851,WBGene00008851,History: N.A.
