Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00194644,3.96326576,2.7300000000000002e-36,WBGene00194644,WBGene00194644,History: N.A.
WBGene00016440,3.739017208,7.47e-47,WBGene00016440,WBGene00016440,History: N.A.
WBGene00016943,3.28292762,8.470000000000001e-37,WBGene00016943,WBGene00016943,History: Renamed on 2004-08-25
WBGene00012177,3.272773049,8.74e-24,WBGene00012177,WBGene00012177,History: N.A.
WBGene00013978,3.257813841,3.23e-29,WBGene00013978,WBGene00013978,History: N.A.
WBGene00219905,3.231137741,8.13e-20,WBGene00219905,WBGene00219905,History: N.A.
WBGene00002212,3.208734593,1.59e-31,WBGene00002212,WBGene00002212,History: N.A.
WBGene00011114,3.201518756,1.17e-28,WBGene00011114,WBGene00011114,History: N.A.
WBGene00017672,3.156124841,1.1400000000000001e-29,WBGene00017672,WBGene00017672,History: N.A.
WBGene00017179,3.134280405,1.4e-30,WBGene00017179,WBGene00017179,History: N.A.
WBGene00021912,3.10961838,2.58e-20,WBGene00021912,WBGene00021912,History: Renamed on 2019-10-15
WBGene00018783,3.103590348,5.26e-26,WBGene00018783,WBGene00018783,History: N.A.
WBGene00002206,3.098091651,1.59e-31,WBGene00002206,WBGene00002206,History: N.A.
WBGene00011027,3.094654739,2.21e-27,WBGene00011027,WBGene00011027,History: N.A.
WBGene00010510,3.028165298,1.18e-23,WBGene00010510,WBGene00010510,History: N.A.
WBGene00017941,3.014810079,3.68e-25,WBGene00017941,WBGene00017941,History: N.A.
WBGene00015630,2.996491169,6.43e-28,WBGene00015630,WBGene00015630,History: N.A.
WBGene00009115,2.992231125,1.22e-26,WBGene00009115,WBGene00009115,History: N.A.
WBGene00021381,2.980844273,4.73e-25,WBGene00021381,WBGene00021381,History: N.A.
WBGene00008812,2.978064158,1.08e-28,WBGene00008812,WBGene00008812,"History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
WBGene00008186,2.970983309,5.07e-20,WBGene00008186,WBGene00008186,History: N.A.
WBGene00002056,2.957965674,3.68e-25,WBGene00002056,WBGene00002056,History: Renamed on 2021-03-09
WBGene00021858,2.939627412,2.01e-22,WBGene00021858,WBGene00021858,"History: Split into Y54F10BM.22(WBGene00306013), Y54F10BM.21(WBGene00306012). History of WBGene00021858: Split into ""WBGene00306013"" on 2020-01-20; Split into ""WBGene00306012"" on 2020-01-21"
WBGene00022079,2.935324696,1.6300000000000001e-21,WBGene00022079,WBGene00022079,History: N.A.
WBGene00019562,2.932970157,1.98e-15,WBGene00019562,WBGene00019562,History: N.A.
WBGene00020904,2.908443848,1.71e-20,WBGene00020904,WBGene00020904,History: N.A.
WBGene00008854,2.905877481,1.53e-20,WBGene00008854,WBGene00008854,History: N.A.
WBGene00016800,2.877855369,2.1900000000000003e-27,WBGene00016800,WBGene00016800,History: N.A.
WBGene00014201,2.847077248,5.929999999999999e-23,WBGene00014201,WBGene00014201,"History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
WBGene00018530,2.811843338,5.63e-24,WBGene00018530,WBGene00018530,History: N.A.
WBGene00020962,2.808358581,1.72e-16,WBGene00020962,WBGene00020962,History: N.A.
WBGene00011260,2.806599898,1.22e-25,WBGene00011260,WBGene00011260,History: N.A.
WBGene00013424,2.797875357,1.01e-19,WBGene00013424,WBGene00013424,History: N.A.
WBGene00017373,2.797576873,1.7400000000000007e-21,WBGene00017373,WBGene00017373,History: N.A.
WBGene00007082,2.793716938,1.3299999999999999e-24,WBGene00007082,WBGene00007082,History: N.A.
