# Supplementary File 5,Sheet 11: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for 10 generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen10),Input,Suggested Match,History
WBGene00008010,3.15896202452335,3.64623204692986,WBGene00008010,WBGene00008010,History: N.A.
WBGene00022163,3.15343159698911,2.03730363296529,WBGene00022163,WBGene00022163,History: N.A.
WBGene00009309,3.14853938846125,1.08035993756558,WBGene00009309,WBGene00009309,History: N.A.
WBGene00020451,3.14116125999575,3.19906426090139,WBGene00020451,WBGene00020451,History: N.A.
WBGene00044436,3.08714142250935,1.51262722918785,WBGene00044436,WBGene00044436,History: N.A.
WBGene00009316,2.99024050543905,2.86399714331707,WBGene00009316,WBGene00009316,History: N.A.
WBGene00022834,2.95277825027941,2.35421826330193,WBGene00022834,WBGene00022834,History: N.A.
WBGene00016891,2.94468014425317,2.50588382905599,WBGene00016891,WBGene00016891,"History: Split into C53A3.4(WBGene00303231). History of WBGene00016891: Split into ""WBGene00303231"" on 2018-05-16"
WBGene00010946,2.92602228348529,1.15722482703659,WBGene00010946,WBGene00010946,History: N.A.
WBGene00013105,2.92384894609996,1.29650186094698,WBGene00013105,WBGene00013105,History: N.A.
WBGene00018850,2.90634789649207,3.69420483319197,WBGene00018850,WBGene00018850,History: N.A.
WBGene00009463,2.89380128965904,2.15801040875472,WBGene00009463,WBGene00009463,History: N.A.
WBGene00235090,2.83253921165416,4.13029604118129,WBGene00235090,WBGene00235090,History: N.A.
WBGene00022017,2.80328300499163,3.87194780972652,WBGene00022017,WBGene00022017,History: N.A.
WBGene00043990,2.79491796414996,3.73046611904496,WBGene00043990,WBGene00043990,History: N.A.
WBGene00007079,2.79491796414996,3.73046611904496,WBGene00007079,WBGene00007079,History: N.A.
WBGene00021673,2.78578976389101,4.6466462468629,WBGene00021673,WBGene00021673,History: N.A.
WBGene00000444,2.77669732278247,1.03011441332475,WBGene00000444,WBGene00000444,History: N.A.
WBGene00017069,2.76145252217486,1.27969138294418,WBGene00017069,WBGene00017069,History: N.A.
WBGene00043988,2.75970651483409,3.22896851368642,WBGene00043988,WBGene00043988,History: N.A.
WBGene00007075,2.75970651483409,3.22896851368642,WBGene00007075,WBGene00007075,History: N.A.
WBGene00019858,2.72905905608586,3.04726241704575,WBGene00019858,WBGene00019858,History: N.A.
WBGene00016951,2.72480342451539,1.34545549045145,WBGene00016951,WBGene00016951,History: N.A.
WBGene00007920,2.67632853876057,4.38629395713332,WBGene00007920,WBGene00007920,History: N.A.
WBGene00005061,2.67527066905357,1.43704714892935,WBGene00005061,WBGene00005061,History: N.A.
WBGene00003424,2.67499211020596,1.24507583765233,WBGene00003424,WBGene00003424,History: N.A.
WBGene00043989,2.65507963139538,3.29506917964121,WBGene00043989,WBGene00043989,History: N.A.
WBGene00007076,2.65507963139538,3.29506917964121,WBGene00007076,WBGene00007076,History: N.A.
WBGene00017978,2.6110882546091,1.2051219309704,WBGene00017978,WBGene00017978,History: N.A.
WBGene00013409,2.60834899875087,3.02272196102742,WBGene00013409,WBGene00013409,History: N.A.
WBGene00011491,2.57728457970037,1.16038154665129,WBGene00011491,WBGene00011491,History: N.A.
WBGene00023399,2.56781683012127,1.66675068191366,WBGene00023399,WBGene00023399,History: N.A.
