# Supplementary File 3,Sheet 8: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00206511,-5.420419078,-4.9604533610329,WBGene00206511,WBGene00206511,History: N.A.
WBGene00016216,-5.416724537,-5.30761550973562,WBGene00016216,WBGene00016216,History: N.A.
WBGene00206474,-5.409544047,-5.34938308626147,WBGene00206474,WBGene00206474,History: N.A.
WBGene00019545,-5.403502048,-5.42170157221637,WBGene00019545,WBGene00019545,History: N.A.
WBGene00009005,-5.35225225,-5.58835823070782,WBGene00009005,WBGene00009005,History: N.A.
WBGene00015896,-5.257970005,-4.85479668695407,WBGene00015896,WBGene00015896,History: N.A.
WBGene00023209,-5.255172421,-4.43821099713778,WBGene00023209,WBGene00023209,History: N.A.
WBGene00013812,-5.235608334,-5.35151218485382,WBGene00013812,WBGene00013812,History: N.A.
WBGene00020988,-5.230295764,-4.79573662937097,WBGene00020988,WBGene00020988,History: N.A.
WBGene00022446,-5.214766664,-4.51027009427771,WBGene00022446,WBGene00022446,History: N.A.
WBGene00017303,-5.205052739,-4.87489582388221,WBGene00017303,WBGene00017303,History: N.A.
WBGene00013387,-5.182596499,-4.7903458239114,WBGene00013387,WBGene00013387,History: N.A.
WBGene00003593,-5.180716346,-2.80479796788832,WBGene00003593,WBGene00003593,History: N.A.
WBGene00011733,-5.161111137,-4.95632620730623,WBGene00011733,WBGene00011733,History: N.A.
WBGene00007679,-5.125021406,-5.13777817736677,WBGene00007679,WBGene00007679,History: N.A.
WBGene00018761,-5.123002109,-4.54161238039109,WBGene00018761,WBGene00018761,History: N.A.
WBGene00022441,-5.114615207,-5.70081481241499,WBGene00022441,WBGene00022441,History: N.A.
WBGene00012486,-5.106628332,-3.44665044608397,WBGene00012486,WBGene00012486,History: N.A.
WBGene00012671,-5.100658264,-5.71002503885471,WBGene00012671,WBGene00012671,History: N.A.
WBGene00016871,-5.08343663,-2.57646055011432,WBGene00016871,WBGene00016871,History: Renamed on 2013-04-16
WBGene00018383,-5.065241015,-4.81070263660766,WBGene00018383,WBGene00018383,History: N.A.
WBGene00022358,-5.058001675,-5.52467628671326,WBGene00022358,WBGene00022358,History: N.A.
WBGene00021817,-5.044959171,-4.81213465544758,WBGene00021817,WBGene00021817,History: N.A.
WBGene00019665,-5.008341352,-5.35098305424982,WBGene00019665,WBGene00019665,History: N.A.
WBGene00219675,-4.998763119,-5.44984165544933,WBGene00219675,WBGene00219675,History: N.A.
WBGene00219317,-4.988445012,-4.15002386325839,WBGene00219317,WBGene00219317,History: N.A.
WBGene00003124,-4.983016477,-4.80371764865533,WBGene00003124,WBGene00003124,History: N.A.
WBGene00021353,-4.970917916,-5.09567854599907,WBGene00021353,WBGene00021353,History: N.A.
WBGene00016165,-4.970036786,-5.09044514250154,WBGene00016165,WBGene00016165,History: N.A.
WBGene00195253,-4.964092819,-3.20027597711041,WBGene00195253,WBGene00195253,History: N.A.
WBGene00195034,-4.92773739,-2.38995451232758,WBGene00195034,WBGene00195034,History: N.A.
WBGene00007119,-4.926644543,-4.2563939927805,WBGene00007119,WBGene00007119,History: N.A.
WBGene00044530,-4.907620022,-5.28689700680636,WBGene00044530,WBGene00044530,History: N.A.
WBGene00009361,-4.890798958,-2.43363283742799,WBGene00009361,WBGene00009361,History: N.A.
