# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≥ 1,Unnamed: 1,Input,Suggested Match,History
WBGene00015205,,WBGene00015205,WBGene00015205,History: N.A.
WBGene00003442,,WBGene00003442,WBGene00003442,History: N.A.
WBGene00018218,,WBGene00018218,WBGene00018218,History: N.A.
WBGene00022864,,WBGene00022864,WBGene00022864,History: N.A.
WBGene00012931,,WBGene00012931,WBGene00012931,History: N.A.
WBGene00009051,,WBGene00009051,WBGene00009051,History: N.A.
WBGene00017459,,WBGene00017459,WBGene00017459,History: N.A.
WBGene00007570,,WBGene00007570,WBGene00007570,History: N.A.
WBGene00010879,,WBGene00010879,WBGene00010879,History: N.A.
WBGene00018068,,WBGene00018068,WBGene00018068,History: N.A.
WBGene00007216,,WBGene00007216,WBGene00007216,History: N.A.
WBGene00013194,,WBGene00013194,WBGene00013194,History: N.A.
WBGene00008772,,WBGene00008772,WBGene00008772,History: N.A.
WBGene00016511,,WBGene00016511,WBGene00016511,History: N.A.
WBGene00022023,,WBGene00022023,WBGene00022023,History: N.A.
WBGene00018997,,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00008724,,WBGene00008724,WBGene00008724,History: N.A.
WBGene00009369,,WBGene00009369,WBGene00009369,History: N.A.
WBGene00018332,,WBGene00018332,WBGene00018332,History: N.A.
WBGene00003581,,WBGene00003581,WBGene00003581,History: N.A.
WBGene00013657,,WBGene00013657,WBGene00013657,History: N.A.
WBGene00018071,,WBGene00018071,WBGene00018071,History: N.A.
WBGene00020105,,WBGene00020105,WBGene00020105,History: N.A.
WBGene00194642,,WBGene00194642,WBGene00194642,History: N.A.
WBGene00009938,,WBGene00009938,WBGene00009938,History: N.A.
WBGene00021960,,WBGene00021960,WBGene00021960,History: N.A.
WBGene00044341,,WBGene00044341,WBGene00044341,History: N.A.
WBGene00008122,,WBGene00008122,WBGene00008122,History: N.A.
WBGene00020480,,WBGene00020480,WBGene00020480,History: N.A.
WBGene00016414,,WBGene00016414,WBGene00016414,History: N.A.
WBGene00021114,,WBGene00021114,WBGene00021114,History: N.A.
WBGene00018370,,WBGene00018370,WBGene00018370,History: N.A.
WBGene00001039,,WBGene00001039,WBGene00001039,History: Renamed on 2015-03-04
WBGene00021925,,WBGene00021925,WBGene00021925,History: N.A.
WBGene00003429,,WBGene00003429,WBGene00003429,History: N.A.
WBGene00003443,,WBGene00003443,WBGene00003443,History: N.A.
WBGene00001682,,WBGene00001682,WBGene00001682,History: N.A.
WBGene00009581,,WBGene00009581,WBGene00009581,History: N.A.
WBGene00016336,,WBGene00016336,WBGene00016336,History: N.A.
WBGene00009457,,WBGene00009457,WBGene00009457,History: N.A.
WBGene00008754,,WBGene00008754,WBGene00008754,History: N.A.
WBGene00021997,,WBGene00021997,WBGene00021997,History: N.A.
WBGene00006572,,WBGene00006572,WBGene00006572,History: N.A.
WBGene00013720,,WBGene00013720,WBGene00013720,History: N.A.
WBGene00021149,,WBGene00021149,WBGene00021149,History: N.A.
WBGene00012357,,WBGene00012357,WBGene00012357,History: N.A.
WBGene00012722,,WBGene00012722,WBGene00012722,History: N.A.
WBGene00022143,,WBGene00022143,WBGene00022143,History: N.A.
WBGene00012354,,WBGene00012354,WBGene00012354,History: N.A.
WBGene00003468,,WBGene00003468,WBGene00003468,History: N.A.
WBGene00021880,,WBGene00021880,WBGene00021880,History: N.A.
WBGene00017002,,WBGene00017002,WBGene00017002,History: N.A.
WBGene00000878,,WBGene00000878,WBGene00000878,History: N.A.
WBGene00012807,,WBGene00012807,WBGene00012807,History: N.A.
WBGene00009002,,WBGene00009002,WBGene00009002,History: N.A.
WBGene00022118,,WBGene00022118,WBGene00022118,History: N.A.
WBGene00021358,,WBGene00021358,WBGene00021358,History: N.A.
WBGene00012029,,WBGene00012029,WBGene00012029,History: N.A.
WBGene00044634,,WBGene00044634,WBGene00044634,History: N.A.
WBGene00008976,,WBGene00008976,WBGene00008976,History: N.A.
WBGene00011319,,WBGene00011319,WBGene00011319,History: N.A.
WBGene00012996,,WBGene00012996,WBGene00012996,History: N.A.
