# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Heritable Downregulated Genes Only in WT but Not in hrde-1 Mutant
Regulation Direction,Gene name,Input,Suggested Match,History
Intergenerational downregulated,WBGene00002020,WBGene00002020,WBGene00002020,History: N.A.
Intergenerational downregulated,WBGene00000561,WBGene00000561,WBGene00000561,History: N.A.
Intergenerational downregulated,WBGene00003939,WBGene00003939,WBGene00003939,History: N.A.
Intergenerational downregulated,WBGene00001251,WBGene00001251,WBGene00001251,History: N.A.
Intergenerational downregulated,WBGene00016359,WBGene00016359,WBGene00016359,History: N.A.
Intergenerational downregulated,WBGene00019563,WBGene00019563,WBGene00019563,History: N.A.
Intergenerational downregulated,WBGene00016454,WBGene00016454,WBGene00016454,History: N.A.
Intergenerational downregulated,WBGene00004257,WBGene00004257,WBGene00004257,History: N.A.
Intergenerational downregulated,WBGene00022614,WBGene00022614,WBGene00022614,History: N.A.
Intergenerational downregulated,WBGene00007064,WBGene00007064,WBGene00007064,History: N.A.
Intergenerational downregulated,WBGene00003568,WBGene00003568,WBGene00003568,History: N.A.
Intergenerational downregulated,WBGene00010628,WBGene00010628,WBGene00010628,History: N.A.
Intergenerational downregulated,WBGene00003006,WBGene00003006,WBGene00003006,History: N.A.
Intergenerational downregulated,WBGene00007317,WBGene00007317,WBGene00007317,History: N.A.
Intergenerational downregulated,WBGene00002018,WBGene00002018,WBGene00002018,History: N.A.
Intergenerational downregulated,WBGene00007592,WBGene00007592,WBGene00007592,History: N.A.
Intergenerational downregulated,WBGene00009020,WBGene00009020,WBGene00009020,History: N.A.
Intergenerational downregulated,WBGene00194650,WBGene00194650,WBGene00194650,History: N.A.
Intergenerational downregulated,WBGene00006306,WBGene00006306,WBGene00006306,History: N.A.
Intergenerational downregulated,WBGene00002016,WBGene00002016,WBGene00002016,History: N.A.
Intergenerational downregulated,WBGene00011042,WBGene00011042,WBGene00011042,History: N.A.
Intergenerational downregulated,WBGene00000981,WBGene00000981,WBGene00000981,History: N.A.
Intergenerational downregulated,WBGene00020726,WBGene00020726,WBGene00020726,History: N.A.
Intergenerational downregulated,WBGene00007325,WBGene00007325,WBGene00007325,History: N.A.
Intergenerational downregulated,WBGene00010063,WBGene00010063,WBGene00010063,History: N.A.
Intergenerational downregulated,WBGene00002233,WBGene00002233,WBGene00002233,History: N.A.
Intergenerational downregulated,WBGene00019237,WBGene00019237,WBGene00019237,History: N.A.
Intergenerational downregulated,WBGene00015647,WBGene00015647,WBGene00015647,History: N.A.
Intergenerational downregulated,WBGene00001460,WBGene00001460,WBGene00001460,History: N.A.
Intergenerational downregulated,WBGene00077490,WBGene00077490,WBGene00077490,History: N.A.
Intergenerational downregulated,WBGene00020902,WBGene00020902,WBGene00020902,History: N.A.
Intergenerational downregulated,WBGene00004950,WBGene00004950,WBGene00004950,History: N.A.
Intergenerational downregulated,WBGene00045379,WBGene00045379,WBGene00045379,History: N.A.
Intergenerational downregulated,WBGene00001821,WBGene00001821,WBGene00001821,History: N.A.
Intergenerational downregulated,WBGene00010558,WBGene00010558,WBGene00010558,History: Renamed on 2023-07-10
Intergenerational downregulated,WBGene00009343,WBGene00009343,WBGene00009343,History: Renamed on 2005-03-17
Intergenerational downregulated,WBGene00000395,WBGene00000395,WBGene00000395,History: N.A.
Intergenerational downregulated,WBGene00002017,WBGene00002017,WBGene00002017,History: N.A.
Intergenerational downregulated,WBGene00016456,WBGene00016456,WBGene00016456,History: N.A.
Intergenerational downregulated,WBGene00000832,WBGene00000832,WBGene00000832,History: N.A.
Intergenerational downregulated,WBGene00004013,WBGene00004013,WBGene00004013,History: N.A.
Intergenerational downregulated,WBGene00000437,WBGene00000437,WBGene00000437,History: N.A.
Intergenerational downregulated,WBGene00003772,WBGene00003772,WBGene00003772,History: N.A.
Intergenerational downregulated,WBGene00018403,WBGene00018403,WBGene00018403,History: N.A.
Intergenerational downregulated,WBGene00002019,WBGene00002019,WBGene00002019,History: N.A.
Intergenerational downregulated,WBGene00015163,WBGene00015163,WBGene00015163,"History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
Intergenerational downregulated,WBGene00010893,WBGene00010893,WBGene00010893,History: N.A.
Intergenerational downregulated,WBGene00004746,WBGene00004746,WBGene00004746,History: N.A.
Intergenerational downregulated,WBGene00000457,WBGene00000457,WBGene00000457,History: N.A.
Intergenerational downregulated,WBGene00016009,WBGene00016009,WBGene00016009,History: N.A.
Intergenerational downregulated,WBGene00077756,WBGene00077756,WBGene00077756,History: N.A.
Intergenerational downregulated,WBGene00006812,WBGene00006812,WBGene00006812,History: N.A.
Intergenerational downregulated,WBGene00019927,WBGene00019927,WBGene00019927,History: N.A.
Intergenerational downregulated,WBGene00011768,WBGene00011768,WBGene00011768,History: N.A.
Intergenerational downregulated,WBGene00006615,WBGene00006615,WBGene00006615,History: N.A.
Intergenerational downregulated,WBGene00006830,WBGene00006830,WBGene00006830,History: N.A.
Intergenerational downregulated,WBGene00013145,WBGene00013145,WBGene00013145,History: N.A.
Intergenerational downregulated,WBGene00016076,WBGene00016076,WBGene00016076,History: N.A.
Intergenerational downregulated,WBGene00002181,WBGene00002181,WBGene00002181,History: N.A.
Intergenerational downregulated,WBGene00004215,WBGene00004215,WBGene00004215,History: Renamed on 2015-07-01
Intergenerational downregulated,WBGene00010944,WBGene00010944,WBGene00010944,History: N.A.
Intergenerational downregulated,WBGene00249826,WBGene00249826,WBGene00249826,History: N.A.
Intergenerational downregulated,WBGene00018606,WBGene00018606,WBGene00018606,History: N.A.
Intergenerational downregulated,WBGene00019703,WBGene00019703,WBGene00019703,History: N.A.
Intergenerational downregulated,WBGene00019597,WBGene00019597,WBGene00019597,"History: Split into K09H9.8(WBGene00045387). History of WBGene00019597: Split into ""WBGene00045387"" on 2007-04-27"
Intergenerational downregulated,WBGene00044330,WBGene00044330,WBGene00044330,History: Renamed on 2005-08-26
Intergenerational downregulated,WBGene00003380,WBGene00003380,WBGene00003380,History: N.A.
Intergenerational downregulated,WBGene00013082,WBGene00013082,WBGene00013082,History: N.A.
Intergenerational downregulated,WBGene00016546,WBGene00016546,WBGene00016546,History: N.A.
Intergenerational downregulated,WBGene00044640,WBGene00044640,WBGene00044640,History: N.A.
Intergenerational downregulated,WBGene00013847,WBGene00013847,WBGene00013847,History: N.A.
Intergenerational downregulated,WBGene00008910,WBGene00008910,WBGene00008910,"History: Split into F17C8.9(WBGene00185014). History of WBGene00008910: Split into ""WBGene00185014"" on 2009-02-18"
Intergenerational downregulated,WBGene00011089,WBGene00011089,WBGene00011089,History: N.A.
Intergenerational downregulated,WBGene00017900,WBGene00017900,WBGene00017900,History: N.A.
Intergenerational downregulated,WBGene00000476,WBGene00000476,WBGene00000476,History: N.A.
Intergenerational downregulated,WBGene00006818,WBGene00006818,WBGene00006818,History: N.A.
Intergenerational downregulated,WBGene00017838,WBGene00017838,WBGene00017838,History: N.A.
Intergenerational downregulated,WBGene00007116,WBGene00007116,WBGene00007116,History: N.A.
Intergenerational downregulated,WBGene00021167,WBGene00021167,WBGene00021167,History: N.A.
Intergenerational downregulated,WBGene00009226,WBGene00009226,WBGene00009226,History: N.A.
Intergenerational downregulated,WBGene00017390,WBGene00017390,WBGene00017390,"History: Split into F12A10.9(WBGene00077704). History of WBGene00017390: Split into ""WBGene00077704"" on 2008-04-08"
Intergenerational downregulated,WBGene00016108,WBGene00016108,WBGene00016108,History: N.A.
Intergenerational downregulated,WBGene00007958,WBGene00007958,WBGene00007958,History: N.A.
Intergenerational downregulated,WBGene00000120,WBGene00000120,WBGene00000120,History: Renamed on 2005-04-27
Intergenerational downregulated,WBGene00016894,WBGene00016894,WBGene00016894,History: N.A.
Intergenerational downregulated,WBGene00015356,WBGene00015356,WBGene00015356,History: N.A.
Intergenerational downregulated,WBGene00013683,WBGene00013683,WBGene00013683,History: Renamed on 2008-07-18
Intergenerational downregulated,WBGene00019160,WBGene00019160,WBGene00019160,History: Renamed on 2016-10-26; Renamed on 2018-10-09
Intergenerational downregulated,WBGene00045387,WBGene00045387,WBGene00045387,History: N.A.
Intergenerational downregulated,WBGene00002261,WBGene00002261,WBGene00002261,History: N.A.
Intergenerational downregulated,WBGene00007599,WBGene00007599,WBGene00007599,History: N.A.
Intergenerational downregulated,WBGene00002085,WBGene00002085,WBGene00002085,History: N.A.
Intergenerational downregulated,WBGene00000482,WBGene00000482,WBGene00000482,History: N.A.
Intergenerational downregulated,WBGene00015523,WBGene00015523,WBGene00015523,History: N.A.
Intergenerational downregulated,WBGene00004344,WBGene00004344,WBGene00004344,History: N.A.
Intergenerational downregulated,WBGene00020735,WBGene00020735,WBGene00020735,History: N.A.
Intergenerational downregulated,WBGene00010251,WBGene00010251,WBGene00010251,"History: Split into marc-1(WBGene00077696), F58E6.13(WBGene00077697). History of WBGene00010251: Split into ""WBGene00077697"" on 2008-03-27"
Intergenerational downregulated,WBGene00001448,WBGene00001448,WBGene00001448,History: N.A.
Intergenerational downregulated,WBGene00020130,WBGene00020130,WBGene00020130,History: N.A.
Intergenerational downregulated,WBGene00000288,WBGene00000288,WBGene00000288,History: N.A.
Intergenerational downregulated,WBGene00001249,WBGene00001249,WBGene00001249,History: N.A.
Intergenerational downregulated,WBGene00021909,WBGene00021909,WBGene00021909,"History: Split into Y55B1BL.2(WBGene00303093). History of WBGene00021909: Split into ""WBGene00303093"" on 2018-03-02"
Intergenerational downregulated,WBGene00003915,WBGene00003915,WBGene00003915,History: N.A.
Intergenerational downregulated,WBGene00004910,WBGene00004910,WBGene00004910,History: Renamed on 2010-09-28
Intergenerational downregulated,WBGene00010838,WBGene00010838,WBGene00010838,History: N.A.
Intergenerational downregulated,WBGene00013882,WBGene00013882,WBGene00013882,History: N.A.
Intergenerational downregulated,WBGene00004335,WBGene00004335,WBGene00004335,History: N.A.
Intergenerational downregulated,WBGene00001434,WBGene00001434,WBGene00001434,History: N.A.
Intergenerational downregulated,WBGene00021773,WBGene00021773,WBGene00021773,History: N.A.
Intergenerational downregulated,WBGene00020010,WBGene00020010,WBGene00020010,History: N.A.
Intergenerational downregulated,WBGene00008110,WBGene00008110,WBGene00008110,History: N.A.
Intergenerational downregulated,WBGene00002128,WBGene00002128,WBGene00002128,History: N.A.
Intergenerational downregulated,WBGene00000004,WBGene00000004,WBGene00000004,History: N.A.
Intergenerational downregulated,WBGene00001440,WBGene00001440,WBGene00001440,History: N.A.
Intergenerational downregulated,WBGene00008211,WBGene00008211,WBGene00008211,History: N.A.
