# Supplementary File 5,Sheet 9: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00016951,3.31975628755509,2.39223851172342,WBGene00016951,WBGene00016951,History: N.A.
WBGene00015230,3.29377133763231,4.0638527233694,WBGene00015230,WBGene00015230,History: N.A.
WBGene00019540,3.29344042752014,1.52756743600817,WBGene00019540,WBGene00019540,History: N.A.
WBGene00020961,3.28319952981055,2.78231310162099,WBGene00020961,WBGene00020961,History: N.A.
WBGene00004054,3.25941293544218,3.46628376412422,WBGene00004054,WBGene00004054,History: Renamed on 2014-12-04
WBGene00020054,3.24961952907222,1.04277467261015,WBGene00020054,WBGene00020054,History: N.A.
WBGene00014239,3.24012650383528,2.07773697375582,WBGene00014239,WBGene00014239,History: N.A.
WBGene00017069,3.2385930654029,2.24573757147586,WBGene00017069,WBGene00017069,History: N.A.
WBGene00018496,3.23620460066306,4.96260565972775,WBGene00018496,WBGene00018496,History: N.A.
WBGene00021627,3.19857708346306,1.7183234888241,WBGene00021627,WBGene00021627,History: N.A.
WBGene00022705,3.19731788839268,2.30819124910229,WBGene00022705,WBGene00022705,History: N.A.
WBGene00020669,3.19102916149927,2.48983781126688,WBGene00020669,WBGene00020669,History: N.A.
WBGene00044436,3.18118549595529,1.28829561084177,WBGene00044436,WBGene00044436,History: N.A.
WBGene00007771,3.15932735570391,1.00352072740547,WBGene00007771,WBGene00007771,History: N.A.
WBGene00018648,3.1368898149838,5.00777162874935,WBGene00018648,WBGene00018648,History: N.A.
WBGene00016595,3.12062499161312,1.32286136392387,WBGene00016595,WBGene00016595,History: N.A.
WBGene00022163,3.12023542638976,1.76711166160186,WBGene00022163,WBGene00022163,History: N.A.
WBGene00017246,3.09808678031126,1.07131229099518,WBGene00017246,WBGene00017246,History: N.A.
WBGene00010682,3.09316149027987,1.73035339669543,WBGene00010682,WBGene00010682,"History: Split into K08F8.15(WBGene00303068). History of WBGene00010682: Split into ""WBGene00303068"" on 2018-03-02"
WBGene00009104,3.09168976254181,1.47827174175229,WBGene00009104,WBGene00009104,History: N.A.
WBGene00077603,3.08305035424605,3.46099827156604,WBGene00077603,WBGene00077603,History: N.A.
WBGene00044541,3.06130472786252,4.38224839000568,WBGene00044541,WBGene00044541,History: N.A.
WBGene00008495,3.060845093017,1.22001381479231,WBGene00008495,WBGene00008495,History: N.A.
WBGene00022223,3.03435956468728,3.41063543685183,WBGene00022223,WBGene00022223,History: N.A.
WBGene00021797,3.02678927258426,2.80025798935432,WBGene00021797,WBGene00021797,History: N.A.
