# Note: In the following rows commas have been replaced with semicolons to work better with r
# In order to determine H3K9me2 marked genes; we employed published H3K9me2 ChIP-seq dataset SRX495107 (Gerstein et al.; 2010)
# and performed peak calling analysis using MACS (Lupien et al.; 2008). We then defined H3K9me2 marked genes as genes for which
# a significant H3K9me2 peak (FDR Qvalue < 0.1) overlaps the 1;000 bp centered around their TSS.
WBGene Name,Input,Suggested Match,History
WBGene00000410,WBGene00000410,WBGene00000410,History: N.A.
WBGene00000411,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000414,WBGene00000414,WBGene00000414,History: N.A.
WBGene00000415,WBGene00000415,WBGene00000415,History: N.A.
WBGene00000416,WBGene00000416,WBGene00000416,History: N.A.
WBGene00000427,WBGene00000427,WBGene00000427,History: N.A.
WBGene00000434,WBGene00000434,WBGene00000434,History: N.A.
WBGene00000435,WBGene00000435,WBGene00000435,History: N.A.
WBGene00000445,WBGene00000445,WBGene00000445,History: Renamed on 2006-12-04
WBGene00000446,WBGene00000446,WBGene00000446,History: N.A.
WBGene00000452,WBGene00000452,WBGene00000452,History: N.A.
WBGene00000453,WBGene00000453,WBGene00000453,History: N.A.
WBGene00000455,WBGene00000455,WBGene00000455,History: N.A.
WBGene00000457,WBGene00000457,WBGene00000457,History: N.A.
WBGene00000460,WBGene00000460,WBGene00000460,History: N.A.
WBGene00000465,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000469,WBGene00000469,WBGene00000469,History: N.A.
WBGene00000472,WBGene00000472,WBGene00000472,History: N.A.
WBGene00000473,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000475,WBGene00000475,WBGene00000475,History: N.A.
WBGene00000478,WBGene00000478,WBGene00000478,History: N.A.
WBGene00000482,WBGene00000482,WBGene00000482,History: N.A.
WBGene00000493,WBGene00000493,WBGene00000493,History: N.A.
WBGene00000497,WBGene00000497,WBGene00000497,History: N.A.
WBGene00000498,WBGene00000498,WBGene00000498,History: N.A.
WBGene00000499,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000503,WBGene00000503,WBGene00000503,History: N.A.
WBGene00000517,WBGene00000517,WBGene00000517,History: N.A.
WBGene00000521,WBGene00000521,WBGene00000521,History: N.A.
WBGene00000527,WBGene00000527,WBGene00000527,History: N.A.
WBGene00000528,WBGene00000528,WBGene00000528,History: N.A.
WBGene00000529,WBGene00000529,WBGene00000529,History: N.A.
WBGene00000545,WBGene00000545,WBGene00000545,History: N.A.
WBGene00000546,WBGene00000546,WBGene00000546,"History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
WBGene00000547,WBGene00000547,WBGene00000547,History: N.A.
WBGene00000549,WBGene00000549,WBGene00000549,History: N.A.
WBGene00000551,WBGene00000551,WBGene00000551,History: N.A.
WBGene00000553,WBGene00000553,WBGene00000553,History: N.A.
WBGene00000565,WBGene00000565,WBGene00000565,History: Renamed on 2014-12-10
WBGene00000566,WBGene00000566,WBGene00000566,History: N.A.
WBGene00000584,WBGene00000584,WBGene00000584,History: N.A.
WBGene00000593,WBGene00000593,WBGene00000593,History: N.A.
WBGene00000594,WBGene00000594,WBGene00000594,History: N.A.
WBGene00000596,WBGene00000596,WBGene00000596,History: N.A.
WBGene00000597,WBGene00000597,WBGene00000597,History: N.A.
WBGene00000598,WBGene00000598,WBGene00000598,History: N.A.
WBGene00000599,WBGene00000599,WBGene00000599,History: N.A.
WBGene00000601,WBGene00000601,WBGene00000601,History: N.A.
WBGene00000602,WBGene00000602,WBGene00000602,History: N.A.
WBGene00000603,WBGene00000603,WBGene00000603,History: N.A.
WBGene00000606,WBGene00000606,WBGene00000606,History: N.A.
WBGene00000608,WBGene00000608,WBGene00000608,History: N.A.
WBGene00000609,WBGene00000609,WBGene00000609,History: N.A.
WBGene00000611,WBGene00000611,WBGene00000611,History: N.A.
WBGene00000612,WBGene00000612,WBGene00000612,History: N.A.
WBGene00000613,WBGene00000613,WBGene00000613,History: N.A.
WBGene00000614,WBGene00000614,WBGene00000614,History: N.A.
WBGene00000615,WBGene00000615,WBGene00000615,History: N.A.
WBGene00000616,WBGene00000616,WBGene00000616,History: N.A.
WBGene00000617,WBGene00000617,WBGene00000617,History: N.A.
WBGene00000618,WBGene00000618,WBGene00000618,History: N.A.
WBGene00000620,WBGene00000620,WBGene00000620,History: N.A.
WBGene00000621,WBGene00000621,WBGene00000621,History: N.A.
WBGene00000622,WBGene00000622,WBGene00000622,History: N.A.
WBGene00000623,WBGene00000623,WBGene00000623,History: N.A.
WBGene00000624,WBGene00000624,WBGene00000624,History: N.A.
WBGene00000625,WBGene00000625,WBGene00000625,History: N.A.
WBGene00000626,WBGene00000626,WBGene00000626,History: N.A.
WBGene00000627,WBGene00000627,WBGene00000627,History: N.A.
WBGene00000628,WBGene00000628,WBGene00000628,History: N.A.
WBGene00000629,WBGene00000629,WBGene00000629,History: N.A.
WBGene00000631,WBGene00000631,WBGene00000631,History: N.A.
WBGene00000632,WBGene00000632,WBGene00000632,History: N.A.
WBGene00000633,WBGene00000633,WBGene00000633,History: N.A.
WBGene00000634,WBGene00000634,WBGene00000634,History: N.A.
WBGene00000636,WBGene00000636,WBGene00000636,History: N.A.
WBGene00000637,WBGene00000637,WBGene00000637,History: N.A.
WBGene00000638,WBGene00000638,WBGene00000638,History: N.A.
WBGene00000639,WBGene00000639,WBGene00000639,History: N.A.
WBGene00000641,WBGene00000641,WBGene00000641,History: N.A.
WBGene00000644,WBGene00000644,WBGene00000644,History: N.A.
WBGene00000645,WBGene00000645,WBGene00000645,History: N.A.
WBGene00000646,WBGene00000646,WBGene00000646,History: Renamed on 2015-05-22
WBGene00000647,WBGene00000647,WBGene00000647,History: N.A.
WBGene00000648,WBGene00000648,WBGene00000648,History: N.A.
WBGene00000649,WBGene00000649,WBGene00000649,History: N.A.
WBGene00000650,WBGene00000650,WBGene00000650,History: N.A.
WBGene00000652,WBGene00000652,WBGene00000652,History: N.A.
WBGene00000653,WBGene00000653,WBGene00000653,History: N.A.
WBGene00000655,WBGene00000655,WBGene00000655,History: N.A.
WBGene00000656,WBGene00000656,WBGene00000656,History: N.A.
WBGene00000657,WBGene00000657,WBGene00000657,History: N.A.
WBGene00000658,WBGene00000658,WBGene00000658,History: N.A.
WBGene00000659,WBGene00000659,WBGene00000659,History: N.A.
