# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Stable (1020),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001324,,,,WBGene00001324,WBGene00001324,History: N.A.
WBGene00001329,,,,WBGene00001329,WBGene00001329,History: N.A.
WBGene00001333,,,,WBGene00001333,WBGene00001333,History: N.A.
WBGene00001340,,,,WBGene00001340,WBGene00001340,History: N.A.
WBGene00001352,,,,WBGene00001352,WBGene00001352,History: N.A.
WBGene00001358,,,,WBGene00001358,WBGene00001358,History: N.A.
WBGene00001365,,,,WBGene00001365,WBGene00001365,History: N.A.
WBGene00001396,,,,WBGene00001396,WBGene00001396,History: N.A.
WBGene00001411,,,,WBGene00001411,WBGene00001411,History: N.A.
WBGene00001426,,,,WBGene00001426,WBGene00001426,History: N.A.
WBGene00001427,,,,WBGene00001427,WBGene00001427,History: N.A.
WBGene00001433,,,,WBGene00001433,WBGene00001433,History: N.A.
WBGene00001470,,,,WBGene00001470,WBGene00001470,History: Renamed on 2014-10-08
WBGene00001502,,,,WBGene00001502,WBGene00001502,History: N.A.
WBGene00001516,,,,WBGene00001516,WBGene00001516,History: N.A.
WBGene00001520,,,,WBGene00001520,WBGene00001520,History: Renamed on 2008-02-26
WBGene00001538,,,,WBGene00001538,WBGene00001538,History: N.A.
WBGene00001579,,,,WBGene00001579,WBGene00001579,History: N.A.
WBGene00001580,,,,WBGene00001580,WBGene00001580,History: N.A.
