# Supplementary File 5,Sheet 6: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00010295,-3.03800002060765,-2.09172219710413,WBGene00010295,WBGene00010295,History: N.A.
WBGene00009600,-2.99793215554177,-1.33177366052819,WBGene00009600,WBGene00009600,History: N.A.
WBGene00001119,-2.99221229779686,-2.41548935765877,WBGene00001119,WBGene00001119,History: N.A.
WBGene00018169,-2.99216430760903,-2.57696683315516,WBGene00018169,WBGene00018169,History: N.A.
WBGene00008671,-2.97532916641725,-3.4339236840003,WBGene00008671,WBGene00008671,History: N.A.
WBGene00013791,-2.97478303027963,-2.53313034373267,WBGene00013791,WBGene00013791,History: N.A.
WBGene00021491,-2.97235768192186,-4.19218549524071,WBGene00021491,WBGene00021491,History: N.A.
WBGene00020546,-2.9716087573524,-3.85015757998025,WBGene00020546,WBGene00020546,History: N.A.
WBGene00020976,-2.96486699216536,-2.64575310747956,WBGene00020976,WBGene00020976,History: N.A.
WBGene00011524,-2.96462478882515,-3.00964293525558,WBGene00011524,WBGene00011524,History: N.A.
WBGene00014067,-2.96454202578297,-2.45075825827692,WBGene00014067,WBGene00014067,History: N.A.
WBGene00022789,-2.95278700060254,-2.17382855928111,WBGene00022789,WBGene00022789,History: N.A.
WBGene00022024,-2.94843798745692,-1.58736618793528,WBGene00022024,WBGene00022024,History: N.A.
WBGene00011190,-2.94210232526117,-3.19451541090367,WBGene00011190,WBGene00011190,History: N.A.
WBGene00007682,-2.92532089999206,-2.8131877525894,WBGene00007682,WBGene00007682,History: N.A.
WBGene00008673,-2.9208703695133,-2.67184320326852,WBGene00008673,WBGene00008673,History: N.A.
WBGene00007560,-2.87762805817353,-2.06764662153526,WBGene00007560,WBGene00007560,History: N.A.
WBGene00012540,-2.83365699575986,-1.85898266564274,WBGene00012540,WBGene00012540,History: N.A.
WBGene00022382,-2.8024419394326,-2.78364095759752,WBGene00022382,WBGene00022382,History: N.A.
WBGene00044521,-2.79987428653176,-3.11023057814758,WBGene00044521,WBGene00044521,History: N.A.
WBGene00013527,-2.79968447420677,-2.79740499431703,WBGene00013527,WBGene00013527,History: N.A.
WBGene00008349,-2.79880484534061,-1.78157420124798,WBGene00008349,WBGene00008349,History: N.A.
WBGene00008591,-2.78545703484018,-2.39454427782606,WBGene00008591,WBGene00008591,History: N.A.
WBGene00001075,-2.7816447571992,-2.96887586435821,WBGene00001075,WBGene00001075,History: N.A.
WBGene00016700,-2.7376647156314,-1.2223290915246,WBGene00016700,WBGene00016700,History: N.A.
WBGene00017560,-2.73579140206332,-1.82892041972864,WBGene00017560,WBGene00017560,History: N.A.
WBGene00011624,-2.7117558015927,-2.50691780487361,WBGene00011624,WBGene00011624,History: N.A.
WBGene00008105,-2.65199744072237,-2.70087570353129,WBGene00008105,WBGene00008105,"History: Split into C45B11.6(WBGene00045379). History of WBGene00008105: Split into ""WBGene00045379"" on 2007-04-12"
WBGene00018345,-2.62644912656467,-2.78045149035644,WBGene00018345,WBGene00018345,History: N.A.
WBGene00009428,-2.60874488685717,-3.05332286691686,WBGene00009428,WBGene00009428,History: N.A.
WBGene00235271,-2.60571680196459,-3.04852771458608,WBGene00235271,WBGene00235271,History: N.A.
WBGene00001477,-2.60479219471512,-1.87142377719821,WBGene00001477,WBGene00001477,History: N.A.
WBGene00016164,-2.58166545568421,-2.91368027703925,WBGene00016164,WBGene00016164,History: N.A.
WBGene00202514,-2.56667239256464,-2.85706806771786,WBGene00202514,WBGene00202514,History: N.A.
WBGene00016247,-2.5664002746143,-2.29132945908357,WBGene00016247,WBGene00016247,History: N.A.
WBGene00017267,-2.55128780122898,-2.43327141354634,WBGene00017267,WBGene00017267,"History: Split into F08F8.11(WBGene00269381). History of WBGene00017267: Split into ""WBGene00269381"" on 2016-02-18"
WBGene00017270,-2.55128780122898,-2.43327141354634,WBGene00017270,WBGene00017270,History: N.A.
WBGene00007800,-2.54182920940657,-2.54228836986556,WBGene00007800,WBGene00007800,History: N.A.
WBGene00015596,-2.54008446193401,-2.65023728762781,WBGene00015596,WBGene00015596,History: N.A.
WBGene00007506,-2.53984481307022,-2.13182177963991,WBGene00007506,WBGene00007506,History: N.A.
WBGene00018997,-2.5067057000092,-2.27993342055677,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00008302,-2.50263289179257,-2.48352455817052,WBGene00008302,WBGene00008302,History: N.A.
WBGene00045251,-2.46846991740088,-2.08509653020423,WBGene00045251,WBGene00045251,History: N.A.
WBGene00010294,-2.45956394287799,-1.87176424857198,WBGene00010294,WBGene00010294,History: N.A.
WBGene00013837,-2.45501105791153,-2.17405462217071,WBGene00013837,WBGene00013837,History: N.A.
WBGene00009692,-2.41082148534718,-2.41950366102657,WBGene00009692,WBGene00009692,History: N.A.
WBGene00008850,-2.40976897612469,-2.3522453520935,WBGene00008850,WBGene00008850,History: N.A.
WBGene00011610,-2.40242920229768,-1.52456863358525,WBGene00011610,WBGene00011610,History: N.A.
WBGene00020983,-2.38881350189182,-2.62670544888708,WBGene00020983,WBGene00020983,History: N.A.
WBGene00017307,-2.37303268463893,-1.28867198538099,WBGene00017307,WBGene00017307,History: N.A.
WBGene00020626,-2.36694506454215,-1.77788535048598,WBGene00020626,WBGene00020626,History: N.A.
WBGene00007758,-2.32986089842771,-2.15532899399409,WBGene00007758,WBGene00007758,History: N.A.
WBGene00020579,-2.32882277702359,-2.54253316859764,WBGene00020579,WBGene00020579,History: N.A.
WBGene00003092,-2.32076595370985,-3.21208778978355,WBGene00003092,WBGene00003092,History: Renamed on 2015-02-20
WBGene00016568,-2.30899664493945,-2.03758829261392,WBGene00016568,WBGene00016568,History: N.A.
WBGene00016785,-2.29555978319264,-2.06648367009416,WBGene00016785,WBGene00016785,"History: Split into C49G7.12(WBGene00077593), C49G7.13(WBGene00269425). History of WBGene00016785: Split into ""WBGene00077593"" on 2008-02-08; Split into ""WBGene00269425"" on 2016-04-19"
WBGene00077593,-2.28497089867161,-1.37373990430871,WBGene00077593,WBGene00077593,History: N.A.
WBGene00001724,-2.2687496552469,-1.28229899132457,WBGene00001724,WBGene00001724,History: N.A.
WBGene00012878,-2.26516199915592,-2.09819768289863,WBGene00012878,WBGene00012878,History: N.A.
WBGene00021342,-2.25897544474516,-1.08438265726253,WBGene00021342,WBGene00021342,History: N.A.
WBGene00009261,-2.25369347710653,-1.06227824299793,WBGene00009261,WBGene00009261,"History: Split into F30A10.13(WBGene00044680). History of WBGene00009261: Split into ""WBGene00044680"" on 2005-11-21"
WBGene00022222,-2.24680385031066,-1.42014229003336,WBGene00022222,WBGene00022222,History: N.A.
WBGene00011957,-2.22743823278828,-1.83131248932881,WBGene00011957,WBGene00011957,History: N.A.
WBGene00004155,-2.22469432092023,-1.69090590354129,WBGene00004155,WBGene00004155,History: N.A.
WBGene00019154,-2.22166810100097,-1.97066712875478,WBGene00019154,WBGene00019154,History: N.A.
WBGene00007366,-2.21162203766254,-1.48905025979033,WBGene00007366,WBGene00007366,History: N.A.
WBGene00013013,-2.20781580267252,-2.35332806546745,WBGene00013013,WBGene00013013,History: N.A.
WBGene00007694,-2.19417416551762,-1.9835728724877,WBGene00007694,WBGene00007694,History: N.A.
WBGene00019931,-2.18890886788422,-1.9586359564946,WBGene00019931,WBGene00019931,History: N.A.
WBGene00006947,-2.18377221456496,-1.90146266668907,WBGene00006947,WBGene00006947,History: N.A.
WBGene00019564,-2.17758048453054,-1.87054903508965,WBGene00019564,WBGene00019564,History: N.A.
WBGene00020250,-2.16937950518493,-1.79190759065624,WBGene00020250,WBGene00020250,History: N.A.
WBGene00013960,-2.16694421295295,-1.8734001915848,WBGene00013960,WBGene00013960,History: N.A.
WBGene00045401,-2.16415445375034,-1.73035253055164,WBGene00045401,WBGene00045401,History: N.A.
WBGene00000535,-2.1640335563588,-2.02474629145429,WBGene00000535,WBGene00000535,History: Renamed on 2006-01-04
WBGene00004002,-2.13878871637865,-1.18140558339222,WBGene00004002,WBGene00004002,History: N.A.
WBGene00235268,-2.13177992507055,-1.84840786126543,WBGene00235268,WBGene00235268,History: N.A.
WBGene00077490,-2.13155056343045,-2.69951019434466,WBGene00077490,WBGene00077490,History: N.A.
WBGene00014135,-2.12519794897915,-3.23978871328559,WBGene00014135,WBGene00014135,History: N.A.
WBGene00019622,-2.11581335091385,-2.15559690500617,WBGene00019622,WBGene00019622,History: N.A.
WBGene00007459,-2.10981487919529,-2.16311263340395,WBGene00007459,WBGene00007459,History: N.A.
WBGene00077781,-2.09458316219483,-1.22615337283466,WBGene00077781,WBGene00077781,History: N.A.
WBGene00015152,-2.09273605542342,-2.92297429698084,WBGene00015152,WBGene00015152,History: N.A.
WBGene00019479,-2.08007334297671,-2.28066260032256,WBGene00019479,WBGene00019479,History: N.A.
WBGene00017539,-2.07683937226291,-1.80661324798897,WBGene00017539,WBGene00017539,History: N.A.
WBGene00001055,-2.07053775685256,-2.15529986926648,WBGene00001055,WBGene00001055,History: N.A.
WBGene00017214,-2.05145620679777,-1.7281272868345,WBGene00017214,WBGene00017214,History: N.A.
WBGene00044479,-2.04737985880088,-2.01168769802617,WBGene00044479,WBGene00044479,History: N.A.
WBGene00017382,-2.0334123395269,-2.0103899734904,WBGene00017382,WBGene00017382,History: N.A.
WBGene00044302,-2.01808719518175,-2.13283441163451,WBGene00044302,WBGene00044302,History: N.A.
WBGene00021978,-2.0051737129173,-1.62656109805768,WBGene00021978,WBGene00021978,History: N.A.
WBGene00016923,-1.98865493331274,-1.8468106250083,WBGene00016923,WBGene00016923,History: N.A.
WBGene00009292,-1.98052837519979,-1.55939303526202,WBGene00009292,WBGene00009292,History: N.A.
WBGene00001858,-1.97968257826763,-1.86991637496538,WBGene00001858,WBGene00001858,History: Renamed on 2010-11-12
WBGene00007181,-1.97432834323936,-2.06939866528498,WBGene00007181,WBGene00007181,History: N.A.
WBGene00195241,-1.96864167421694,-1.81656460211078,WBGene00195241,WBGene00195241,History: N.A.
WBGene00014954,-1.96845782109051,-1.27249029272327,WBGene00014954,WBGene00014954,History: N.A.
WBGene00007497,-1.95259023591817,-1.39845674710955,WBGene00007497,WBGene00007497,History: N.A.
WBGene00018669,-1.95092057760605,-1.10242378004198,WBGene00018669,WBGene00018669,History: N.A.
WBGene00000695,-1.95090077353601,-2.7777301284199,WBGene00000695,WBGene00000695,History: Renamed on 2006-06-15
WBGene00016783,-1.94662425312828,-1.94478032064747,WBGene00016783,WBGene00016783,History: N.A.
WBGene00010768,-1.94589618421118,-1.4756276653736,WBGene00010768,WBGene00010768,History: N.A.
WBGene00015355,-1.94409426775236,-2.09541071230988,WBGene00015355,WBGene00015355,"History: Split into ceh-63(WBGene00045215). History of WBGene00015355: Split into ""WBGene00045215"" on 2007-01-26"
WBGene00022572,-1.94228044082052,-1.97289752190324,WBGene00022572,WBGene00022572,History: N.A.
WBGene00020878,-1.94151256882384,-1.18346673680803,WBGene00020878,WBGene00020878,History: N.A.
WBGene00011677,-1.93398775023294,-1.72328395365174,WBGene00011677,WBGene00011677,History: N.A.
