# Supplementary File 3,Sheet 3. Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00022589,2.20702674447428,WBGene00022589,WBGene00022589,History: N.A.
WBGene00022165,2.19155171189406,WBGene00022165,WBGene00022165,"History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
WBGene00001131,2.18374510568716,WBGene00001131,WBGene00001131,History: N.A.
WBGene00010295,2.15180008478531,WBGene00010295,WBGene00010295,History: N.A.
WBGene00003235,2.12029876212152,WBGene00003235,WBGene00003235,History: N.A.
WBGene00019994,2.10384245562801,WBGene00019994,WBGene00019994,History: N.A.
WBGene00011805,2.0822210834907,WBGene00011805,WBGene00011805,History: N.A.
WBGene00012758,1.99990363557191,WBGene00012758,WBGene00012758,History: N.A.
WBGene00003941,1.98945489683916,WBGene00003941,WBGene00003941,History: N.A.
WBGene00012368,1.97723611833944,WBGene00012368,WBGene00012368,History: N.A.
WBGene00044961,1.96963439890003,WBGene00044961,WBGene00044961,History: N.A.
WBGene00021068,1.95574890163137,WBGene00021068,WBGene00021068,History: N.A.
WBGene00000057,1.92345467035076,WBGene00000057,WBGene00000057,History: N.A.
WBGene00003040,1.91696221050234,WBGene00003040,WBGene00003040,History: N.A.
WBGene00219822,1.91133861546956,WBGene00219822,WBGene00219822,History: N.A.
WBGene00015478,1.91039218546843,WBGene00015478,WBGene00015478,History: Renamed on 2018-05-24
WBGene00010079,1.90413884616314,WBGene00010079,WBGene00010079,History: N.A.
WBGene00016150,1.87973122495246,WBGene00016150,WBGene00016150,History: N.A.
WBGene00021482,1.87756237237628,WBGene00021482,WBGene00021482,History: N.A.
WBGene00004747,1.85651828793493,WBGene00004747,WBGene00004747,History: N.A.
WBGene00023291,1.85075114313814,WBGene00023291,WBGene00023291,History: N.A.
WBGene00022379,1.83380891330615,WBGene00022379,WBGene00022379,"History: Split into Y94H6A.12(WBGene00050885). History of WBGene00022379: Split into ""WBGene00050885"" on 2007-09-06"
WBGene00017061,1.82192796926344,WBGene00017061,WBGene00017061,History: N.A.
WBGene00013531,1.81712789166057,WBGene00013531,WBGene00013531,History: N.A.
WBGene00044413,1.79765092271982,WBGene00044413,WBGene00044413,History: N.A.
WBGene00043068,1.7643592992001,WBGene00043068,WBGene00043068,History: N.A.
WBGene00010293,1.76001621910976,WBGene00010293,WBGene00010293,History: N.A.
WBGene00006591,1.74889200190152,WBGene00006591,WBGene00006591,History: N.A.
WBGene00014955,1.73732417356666,WBGene00014955,WBGene00014955,History: N.A.
WBGene00007986,1.73292448312483,WBGene00007986,WBGene00007986,History: N.A.
WBGene00194682,1.73070241860588,WBGene00194682,WBGene00194682,History: N.A.
WBGene00016890,1.72023460992687,WBGene00016890,WBGene00016890,History: N.A.
