gene,Input,Suggested Match,History
WBGene00005582,WBGene00005582,WBGene00005582,History: N.A.
WBGene00013061,WBGene00013061,WBGene00013061,History: N.A.
WBGene00005396,WBGene00005396,WBGene00005396,History: N.A.
WBGene00008898,WBGene00008898,WBGene00008898,History: N.A.
WBGene00008012,WBGene00008012,WBGene00008012,History: N.A.
WBGene00012083,WBGene00012083,WBGene00012083,History: N.A.
WBGene00007723,WBGene00007723,WBGene00007723,History: N.A.
WBGene00013973,WBGene00013973,WBGene00013973,"History: Split into asp-19(WBGene00077655). History of WBGene00013973: Split into ""WBGene00077655"" on 2008-02-22"
WBGene00009906,WBGene00009906,WBGene00009906,History: N.A.
WBGene00008703,WBGene00008703,WBGene00008703,History: N.A.
WBGene00044059,WBGene00044059,WBGene00044059,History: N.A.
WBGene00012081,WBGene00012081,WBGene00012081,History: N.A.
WBGene00007674,WBGene00007674,WBGene00007674,"History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
WBGene00011212,WBGene00011212,WBGene00011212,History: N.A.
WBGene00007677,WBGene00007677,WBGene00007677,History: N.A.
WBGene00008017,WBGene00008017,WBGene00008017,"History: Split into fbxa-175(WBGene00045293). History of WBGene00008017: Split into ""WBGene00045293"" on 2007-02-26"
WBGene00012491,WBGene00012491,WBGene00012491,History: N.A.
WBGene00008698,WBGene00008698,WBGene00008698,History: N.A.
WBGene00009195,WBGene00009195,WBGene00009195,History: N.A.
WBGene00008701,WBGene00008701,WBGene00008701,"History: Split into clec-253(WBGene00045361). History of WBGene00008701: Split into ""WBGene00045361"" on 2007-04-12"
WBGene00005330,WBGene00005330,WBGene00005330,History: N.A.
WBGene00005458,WBGene00005458,WBGene00005458,History: N.A.
WBGene00008071,WBGene00008071,WBGene00008071,History: N.A.
WBGene00019991,WBGene00019991,WBGene00019991,History: N.A.
WBGene00010754,WBGene00010754,WBGene00010754,"History: Split into K10G4.13(WBGene00077629). History of WBGene00010754: Split into ""WBGene00077629"" on 2008-02-22"
WBGene00016485,WBGene00016485,WBGene00016485,History: N.A.
WBGene00009571,WBGene00009571,WBGene00009571,History: N.A.
WBGene00007183,WBGene00007183,WBGene00007183,History: N.A.
WBGene00011207,WBGene00011207,WBGene00011207,History: N.A.
WBGene00013470,WBGene00013470,WBGene00013470,History: N.A.
WBGene00022556,WBGene00022556,WBGene00022556,History: N.A.
WBGene00009021,WBGene00009021,WBGene00009021,History: N.A.
WBGene00006550,WBGene00006550,WBGene00006550,History: N.A.
WBGene00022216,WBGene00022216,WBGene00022216,History: N.A.
WBGene00005201,WBGene00005201,WBGene00005201,History: N.A.
WBGene00008899,WBGene00008899,WBGene00008899,History: N.A.
WBGene00008699,WBGene00008699,WBGene00008699,"History: Split into F11D11.22(WBGene00271804). History of WBGene00008699: Split into ""WBGene00271804"" on 2017-09-21"
WBGene00009841,WBGene00009841,WBGene00009841,History: N.A.
WBGene00007673,WBGene00007673,WBGene00007673,History: N.A.
WBGene00022214,WBGene00022214,WBGene00022214,History: N.A.
