,Gene,Count
1868,WBGene00003976,64
1902,WBGene00004094,64
347,WBGene00006626,64
1916,WBGene00004148,64
3426,WBGene00012407,64
1602,WBGene00002065,64
4774,WBGene00019600,64
1077,WBGene00000962,64
4565,WBGene00018577,64
5398,WBGene00022334,64
1447,WBGene00001427,64
4924,WBGene00020349,64
4979,WBGene00020588,64
5379,WBGene00022274,64
5434,WBGene00022441,64
1485,WBGene00001595,64
5091,WBGene00021186,64
1721,WBGene00003153,63
3375,WBGene00012151,63
1376,WBGene00001085,63
6338,WBGene00015153,63
15756,WBGene00007777,63
1991,WBGene00004352,63
1601,WBGene00002063,63
2860,WBGene00009602,63
1166,WBGene00000227,63
1597,WBGene00002036,63
3856,WBGene00014213,63
4606,WBGene00018773,63
3012,WBGene00010491,63
1131,WBGene00000123,63
4857,WBGene00019994,63
5076,WBGene00021095,63
1231,WBGene00000497,63
3363,WBGene00012107,63
3789,WBGene00013953,63
482,WBGene00018152,63
1256,WBGene00000549,63
4696,WBGene00019138,63
5360,WBGene00022198,63
4704,WBGene00019189,63
3233,WBGene00011498,63
1641,WBGene00002229,63
1862,WBGene00003951,63
1816,WBGene00003795,63
1208,WBGene00000411,63
4374,WBGene00017419,63
1267,WBGene00000647,63
288,WBGene00021486,63
1845,WBGene00003884,63
290,WBGene00017542,63
15857,WBGene00001414,63
5304,WBGene00021977,62
5078,WBGene00021098,62
1241,WBGene00000518,62
35,WBGene00044559,62
3779,WBGene00013832,62
1737,WBGene00003214,62
1057,WBGene00018575,62
2409,WBGene00007309,62
3503,WBGene00012802,62
4768,WBGene00019569,62
1724,WBGene00003156,62
5394,WBGene00022307,62
1944,WBGene00004241,62
1113,WBGene00000064,62
28,WBGene00020352,62
3001,WBGene00010453,62
1402,WBGene00001214,62
1805,WBGene00003777,62
3206,WBGene00011338,62
4257,WBGene00016823,62
3247,WBGene00011560,62
1093,WBGene00004458,62
1167,WBGene00000231,62
4396,WBGene00017571,62
2052,WBGene00004737,62
3452,WBGene00012554,62
1536,WBGene00001832,62
4954,WBGene00020451,62
2282,WBGene00006876,62
4864,WBGene00020035,62
643,WBGene00002263,62
596,WBGene00002064,62
992,WBGene00002047,62
1230,WBGene00000496,62
1332,WBGene00000939,62
4887,WBGene00020146,62
1557,WBGene00001909,62
1663,WBGene00002879,61
1743,WBGene00003228,61
5325,WBGene00022067,61
1723,WBGene00003155,61
37,WBGene00010402,61
1858,WBGene00003927,61
5284,WBGene00021913,61
2459,WBGene00007600,61
5034,WBGene00020930,61
1882,WBGene00004045,61
3595,WBGene00013158,61
3279,WBGene00011729,61
5222,WBGene00021676,61
1953,WBGene00004266,61
1930,WBGene00004187,61
3115,WBGene00010934,61
528,WBGene00015124,61
2689,WBGene00008726,61
2120,WBGene00005019,61
1782,WBGene00003579,61
921,WBGene00006499,61
1795,WBGene00003614,61
5980,WBGene00004423,61
1739,WBGene00003220,61
1183,WBGene00000274,61
660,WBGene00010139,61
2852,WBGene00009558,61
42,WBGene00014179,61
1520,WBGene00001745,61
3889,WBGene00015083,61
3897,WBGene00015102,61
5539,WBGene00043988,61
3921,WBGene00015200,61
858,WBGene00006794,61
5613,WBGene00045052,61
168,WBGene00013858,61
2843,WBGene00009509,61
701,WBGene00021007,61
5515,WBGene00022848,61
5573,WBGene00044401,61
1320,WBGene00000898,61
851,WBGene00008878,61
2877,WBGene00009696,61
4065,WBGene00015989,61
4109,WBGene00016163,61
1297,WBGene00000836,61
4471,WBGene00017979,61
412,WBGene00001168,61
4262,WBGene00016871,61
2025,WBGene00004466,61
1612,WBGene00002079,61
5332,WBGene00022100,61
1487,WBGene00001597,61
2084,WBGene00004880,61
6265,WBGene00004120,60
1880,WBGene00004043,60
4960,WBGene00020463,60
15833,WBGene00017386,60
5229,WBGene00021687,60
1184,WBGene00000275,60
4301,WBGene00017071,60
894,WBGene00004755,60
5042,WBGene00020955,60
5230,WBGene00021697,60
1488,WBGene00001598,60
17773,WBGene00015765,60
1219,WBGene00000460,60
89,WBGene00022731,60
4967,WBGene00020496,60
859,WBGene00003928,60
165,WBGene00022751,60
2304,WBGene00006962,60
8,WBGene00023036,60
4172,WBGene00016405,60
494,WBGene00011867,60
5250,WBGene00021808,60
3316,WBGene00011884,60
3330,WBGene00011945,60
3657,WBGene00013348,60
1334,WBGene00000959,60
4778,WBGene00019628,60
5105,WBGene00021246,60
424,WBGene00013501,60
397,WBGene00019900,60
1980,WBGene00004321,60
3549,WBGene00012973,60
647,WBGene00002717,60
2412,WBGene00007332,60
17,WBGene00013779,60
1603,WBGene00002066,60
1292,WBGene00000820,60
2955,WBGene00010204,60
443,WBGene00015515,60
3500,WBGene00012786,60
2037,WBGene00004509,60
2556,WBGene00008053,60
1913,WBGene00004140,60
3421,WBGene00012386,60
1651,WBGene00002253,60
3691,WBGene00013507,60
1312,WBGene00000875,60
3979,WBGene00015492,60
5334,WBGene00022103,60
1741,WBGene00003222,60
2024,WBGene00004464,60
3162,WBGene00011155,59
5190,WBGene00021555,59
2790,WBGene00009234,59
5125,WBGene00021319,59
2983,WBGene00010353,59
1974,WBGene00004313,59
5061,WBGene00021027,59
5098,WBGene00003216,59
584,WBGene00010779,59
2068,WBGene00004778,59
6311,WBGene00007165,59
5171,WBGene00021487,59
2964,WBGene00010260,59
16698,WBGene00019947,59
2937,WBGene00010066,59
603,WBGene00004355,59
714,WBGene00013311,59
571,WBGene00019785,59
3346,WBGene00012003,59
1081,WBGene00015143,59
1308,WBGene00000868,59
416,WBGene00009308,59
3669,WBGene00013380,59
3704,WBGene00013554,59
2276,WBGene00006830,59
1615,WBGene00002083,59
666,WBGene00004698,59
3780,WBGene00013859,59
3786,WBGene00013917,59
4616,WBGene00018804,59
1304,WBGene00000857,59
5617,WBGene00045212,59
4548,WBGene00018433,59
3994,WBGene00015557,59
2247,WBGene00006734,59
3996,WBGene00015569,59
4523,WBGene00018304,59
2376,WBGene00007139,59
4097,WBGene00016140,59
2353,WBGene00007090,59
39,WBGene00012819,59
4387,WBGene00017508,59
2335,WBGene00007028,59
22,WBGene00013816,59
2317,WBGene00006994,59
1477,WBGene00001569,59
4306,WBGene00017080,59
3659,WBGene00013352,59
1640,WBGene00002228,59
5361,WBGene00022203,59
2532,WBGene00007924,59
515,WBGene00013771,59
1910,WBGene00004128,59
1195,WBGene00000378,59
937,WBGene00004504,59
3284,WBGene00011737,59
1857,WBGene00003926,59
2561,WBGene00008086,59
1849,WBGene00003905,59
4311,WBGene00017088,59
109,WBGene00017441,59
4765,WBGene00019541,59
4890,WBGene00020168,59
2548,WBGene00008005,59
2211,WBGene00006594,59
3489,WBGene00012730,59
1075,WBGene00003210,59
1684,WBGene00003026,59
1697,WBGene00003060,59
2758,WBGene00009113,59
625,WBGene00004459,59
2767,WBGene00009142,59
449,WBGene00009542,59
2340,WBGene00007048,58
2512,WBGene00007789,58
2121,WBGene00005022,58
997,WBGene00022114,58
2599,WBGene00008270,58
2318,WBGene00006996,58
5205,WBGene00021645,58
5202,WBGene00021637,58
2150,WBGene00006384,58
5261,WBGene00021835,58
2725,WBGene00008937,58
2350,WBGene00007079,58
5208,WBGene00021654,58
17536,WBGene00009367,58
991,WBGene00021097,58
996,WBGene00000803,58
2267,WBGene00006801,58
988,WBGene00021884,58
3531,WBGene00012911,58
1815,WBGene00003794,58
108,WBGene00007463,58
1533,WBGene00001829,58
4464,WBGene00017930,58
1233,WBGene00000499,58
3464,WBGene00012623,58
2046,WBGene00004706,58
3540,WBGene00023404,58
3594,WBGene00013157,58
3605,WBGene00013189,58
4740,WBGene00019381,58
4718,WBGene00019259,58
423,WBGene00006528,58
4697,WBGene00019139,58
4662,WBGene00018967,58
3679,WBGene00013440,58
4645,WBGene00018900,58
1268,WBGene00000685,58
3748,WBGene00013689,58
1284,WBGene00000804,58
4577,WBGene00018615,58
3886,WBGene00015037,58
1307,WBGene00000867,58
1578,WBGene00001999,58
3407,WBGene00012319,58
1400,WBGene00001196,58
1545,WBGene00001859,58
2044,WBGene00004703,58
712,WBGene00008780,58
717,WBGene00003901,58
5152,WBGene00021415,58
4358,WBGene00017303,58
1998,WBGene00004377,58
5088,WBGene00021148,58
1122,WBGene00000099,58
3100,WBGene00010868,58
1448,WBGene00001431,58
1937,WBGene00004202,58
5075,WBGene00021088,58
1153,WBGene00000197,58
6342,WBGene00011200,58
3148,WBGene00011110,58
5056,WBGene00021014,58
294,WBGene00004704,58
3187,WBGene00011282,58
1870,WBGene00003992,58
3297,WBGene00011803,58
6570,WBGene00010295,58
871,WBGene00006768,57
1329,WBGene00000935,57
1544,WBGene00001856,57
1489,WBGene00001599,57
1445,WBGene00001423,57
1348,WBGene00001023,57
959,WBGene00000229,57
1558,WBGene00001911,57
1609,WBGene00002076,57
1658,WBGene00002368,57
1775,WBGene00003507,57
679,WBGene00001167,57
1789,WBGene00003593,57
1850,WBGene00003914,57
1911,WBGene00004132,57
36,WBGene00008110,57
2105,WBGene00004952,57
2027,WBGene00004468,57
2080,WBGene00004855,57
1486,WBGene00001596,57
5358,WBGene00022181,57
2913,WBGene00009962,57
4292,WBGene00017031,57
4039,WBGene00015819,57
4849,WBGene00019938,57
5453,WBGene00022512,57
2928,WBGene00010040,57
4776,WBGene00019611,57
4357,WBGene00017301,57
3383,WBGene00012201,57
3693,WBGene00013509,57
4015,WBGene00015698,57
524,WBGene00003902,57
2700,WBGene00008776,57
4498,WBGene00018099,57
2704,WBGene00008819,57
292,WBGene00022599,57
4461,WBGene00017920,57
2717,WBGene00077761,57
3174,WBGene00011240,57
4424,WBGene00017737,57
2788,WBGene00009224,57
98,WBGene00020840,57
2808,WBGene00009306,57
4405,WBGene00017629,57
4996,WBGene00020696,57
4042,WBGene00015868,57
4151,WBGene00016319,57
3373,WBGene00012148,57
5338,WBGene00022119,57
2348,WBGene00007075,57
4133,WBGene00077732,57
3408,WBGene00012337,57
3350,WBGene00012020,57
5541,WBGene00043990,57
340,WBGene00009254,57
3332,WBGene00011959,57
2443,WBGene00007505,57
357,WBGene00009959,57
4247,WBGene00016763,57
5375,WBGene00022257,57
3487,WBGene00012717,57
5187,WBGene00021547,57
5349,WBGene00006771,57
5142,WBGene00021369,57
4214,WBGene00016603,57
181,WBGene00012894,57
289,WBGene00022754,57
4010,WBGene00015647,56
25,WBGene00013644,56
1564,WBGene00001946,56
1606,WBGene00002073,56
3878,WBGene00015015,56
1695,WBGene00003052,56
16315,WBGene00010633,56
1780,WBGene00003559,56
1779,WBGene00003552,56
462,WBGene00020414,56
1766,WBGene00003422,56
3495,WBGene00012759,56
1738,WBGene00003218,56
3502,WBGene00012798,56
3560,WBGene00012999,56
385,WBGene00009416,56
3603,WBGene00013180,56
1666,WBGene00002977,56
425,WBGene00002694,56
3629,WBGene00013236,56
3636,WBGene00013248,56
3689,WBGene00013499,56
1617,WBGene00002100,56
4124,WBGene00016202,56
4103,WBGene00016150,56
2309,WBGene00006975,56
1541,WBGene00001840,56
5237,WBGene00021726,56
1164,WBGene00000224,56
5419,WBGene00022382,56
15011,WBGene00020966,56
5089,WBGene00021155,56
1109,WBGene00004373,56
14410,WBGene00000397,56
1094,WBGene00013198,56
5266,WBGene00021853,56
1523,WBGene00001748,56
5275,WBGene00021893,56
5288,WBGene00021927,56
5291,WBGene00021931,56
5312,WBGene00022037,56
998,WBGene00003638,56
130,WBGene00006940,56
5341,WBGene00022129,56
4918,WBGene00020313,56
4825,WBGene00019831,56
4807,WBGene00019767,56
4762,WBGene00019513,56
4191,WBGene00016485,56
1493,WBGene00001607,56
91,WBGene00018837,56
4348,WBGene00017280,56
1466,WBGene00001514,56
1451,WBGene00001459,56
15945,WBGene00013474,56
4395,WBGene00017556,56
4455,WBGene00017887,56
4492,WBGene00018065,56
267,WBGene00014197,56
4610,WBGene00018781,56
102,WBGene00021355,56
1274,WBGene00000770,56
914,WBGene00008035,56
6093,WBGene00002048,56
3711,WBGene00013575,56
1810,WBGene00003789,56
2224,WBGene00006640,56
2083,WBGene00004874,56
17362,WBGene00003229,56
2675,WBGene00008665,56
704,WBGene00010920,56
3217,WBGene00011393,56
3204,WBGene00011333,56
17909,WBGene00021296,56
2834,WBGene00009468,56
16780,WBGene00000777,56
500,WBGene00003947,56
3121,WBGene00010990,56
2220,WBGene00006616,56
3089,WBGene00010811,56
2203,WBGene00006571,56
2226,WBGene00006647,56
2273,WBGene00006817,56
1942,WBGene00004217,56
1847,WBGene00003903,56
2428,WBGene00007433,56
1950,WBGene00004249,56
1817,WBGene00003796,56
16714,WBGene00021423,56
2466,WBGene00007617,56
338,WBGene00001862,55
3030,WBGene00010579,55
336,WBGene00006727,55
2079,WBGene00004827,55
1383,WBGene00001102,55
4417,WBGene00017698,55
1396,WBGene00001177,55
4472,WBGene00017981,55
3020,WBGene00010550,55
6388,WBGene00003970,55
2893,WBGene00009812,55
716,WBGene00004756,55
308,WBGene00007337,55
95,WBGene00007750,55
2968,WBGene00010280,55
2973,WBGene00010303,55
2020,WBGene00004460,55
870,WBGene00003923,55
869,WBGene00013270,55
2101,WBGene00004933,55
4188,WBGene00016457,55
3010,WBGene00010483,55
1508,WBGene00001666,55
17437,WBGene00012926,55
4649,WBGene00018921,55
4509,WBGene00018202,55
200,WBGene00012781,55
5342,WBGene00022131,55
2294,WBGene00006936,55
1013,WBGene00020284,55
5308,WBGene00022020,55
1049,WBGene00001030,55
1058,WBGene00001230,55
2534,WBGene00007941,55
2545,WBGene00007982,55
5137,WBGene00021353,55
5404,WBGene00022353,55
1129,WBGene00000115,55
2199,WBGene00006565,55
5064,WBGene00021037,55
2557,WBGene00008061,55
4985,WBGene00020652,55
2106,WBGene00004953,55
4973,WBGene00020540,55
4961,WBGene00020464,55
4933,WBGene00020392,55
1224,WBGene00000469,55
10,WBGene00077437,55
2582,WBGene00008166,55
2619,WBGene00008400,55
924,WBGene00022048,55
4799,WBGene00019729,55
2164,WBGene00006432,55
15795,WBGene00007159,55
3033,WBGene00010583,55
4644,WBGene00018898,55
4595,WBGene00018698,55
729,WBGene00015073,55
4317,WBGene00017125,55
3000,WBGene00010451,55
3188,WBGene00011291,55
16258,WBGene00016440,55
3824,WBGene00014090,55
5701,WBGene00021681,55
1610,WBGene00002077,55
3759,WBGene00013729,55
3730,WBGene00013622,55
3494,WBGene00012758,55
1901,WBGene00004093,55
1625,WBGene00002169,55
3274,WBGene00011680,55
798,WBGene00015230,55
3209,WBGene00011350,55
3516,WBGene00012867,55
1642,WBGene00002230,55
3637,WBGene00013249,55
5837,WBGene00019540,55
1714,WBGene00003133,55
1654,WBGene00002297,55
1661,WBGene00002845,55
752,WBGene00021271,55
1866,WBGene00003962,55
5621,WBGene00045297,55
3620,WBGene00013223,55
16666,WBGene00016977,55
16102,WBGene00011910,55
3356,WBGene00012040,55
62,WBGene00016054,55
3118,WBGene00010976,55
1772,WBGene00003480,55
1918,WBGene00004164,55
1579,WBGene00002000,55
3439,WBGene00012481,55
3396,WBGene00012239,55
3947,WBGene00015320,55
4966,WBGene00020486,54
1792,WBGene00003600,54
5052,WBGene00021008,54
5049,WBGene00021000,54
2279,WBGene00006840,54
3232,WBGene00011497,54
4990,WBGene00020679,54
2421,WBGene00007405,54
3235,WBGene00011501,54
2345,WBGene00007060,54
1212,WBGene00000417,54
3557,WBGene00012993,54
5420,WBGene00022385,54
1720,WBGene00003150,54
2354,WBGene00007091,54
2252,WBGene00006740,54
3512,WBGene00012854,54
3342,WBGene00011986,54
9030,WBGene00022090,54
5198,WBGene00021606,54
1765,WBGene00003421,54
3444,WBGene00012524,54
3448,WBGene00012547,54
5232,WBGene00021700,54
1748,WBGene00003367,54
2253,WBGene00006750,54
2464,WBGene00007615,54
3219,WBGene00011399,54
6241,WBGene00000535,54
1121,WBGene00000098,54
1774,WBGene00003504,54
985,WBGene00009245,54
3501,WBGene00012792,54
2207,WBGene00006579,54
1861,WBGene00003948,54
5216,WBGene00021664,54
3470,WBGene00012650,54
1526,WBGene00001793,54
2650,WBGene00008503,54
4011,WBGene00015677,54
2056,WBGene00004745,54
2823,WBGene00009380,54
3853,WBGene00014206,54
2857,WBGene00009583,54
2045,WBGene00004705,54
3177,WBGene00011267,54
2935,WBGene00010056,54
1478,WBGene00001571,54
1793,WBGene00003602,54
4001,WBGene00015590,54
1570,WBGene00001978,54
4410,WBGene00017644,54
4035,WBGene00015814,54
4231,WBGene00016653,54
2988,WBGene00010367,54
4200,WBGene00016540,54
3132,WBGene00011043,54
1984,WBGene00004326,54
3072,WBGene00010735,54
6351,WBGene00001520,54
6381,WBGene00015796,54
4127,WBGene00016216,54
1401,WBGene00001209,54
3809,WBGene00014027,54
2174,WBGene00006460,54
4618,WBGene00018812,54
2167,WBGene00006440,54
1240,WBGene00000514,54
4801,WBGene00019735,54
6300,WBGene00018671,54
2656,WBGene00008532,54
4130,WBGene00016236,54
4760,WBGene00019510,54
3633,WBGene00013244,54
17041,WBGene00003083,54
3215,WBGene00011376,54
4615,WBGene00018803,54
3760,WBGene00013736,54
2680,WBGene00008683,54
4575,WBGene00018612,54
1638,WBGene00002222,54
4537,WBGene00018390,54
5520,WBGene00022854,54
2311,WBGene00006977,54
4508,WBGene00018193,54
4501,WBGene00018137,54
1337,WBGene00000982,54
4480,WBGene00018005,54
1258,WBGene00000554,54
5074,WBGene00021079,54
637,WBGene00006888,54
456,WBGene00004505,54
689,WBGene00045272,54
182,WBGene00011918,54
83,WBGene00021430,54
2,WBGene00020817,54
226,WBGene00021398,54
133,WBGene00009064,54
366,WBGene00007977,54
659,WBGene00016158,54
135,WBGene00011156,54
137,WBGene00006704,54
640,WBGene00014015,54
5464,WBGene00022564,53
6068,WBGene00012855,53
2411,WBGene00007331,53
17417,WBGene00009115,53
3465,WBGene00012624,53
3007,WBGene00010478,53
2379,WBGene00007150,53
4721,WBGene00019267,53
4228,WBGene00016641,53
5117,WBGene00021292,53
6142,WBGene00012299,53
322,WBGene00006038,53
5384,WBGene00022279,53
17688,WBGene00012104,53
5388,WBGene00022296,53
2038,WBGene00004510,53
3539,WBGene00012936,53
4118,WBGene00016177,53
632,WBGene00019162,53
1078,WBGene00010405,53
113,WBGene00018856,53
4459,WBGene00017900,53
2959,WBGene00010232,53
2058,WBGene00004747,53
1306,WBGene00000866,53
2969,WBGene00010281,53
3499,WBGene00012769,53
3498,WBGene00012768,53
1096,WBGene00002231,53
2112,WBGene00004980,53
1257,WBGene00000550,53
4236,WBGene00016678,53
3306,WBGene00011819,53
3193,WBGene00011303,53
2250,WBGene00006737,53
4397,WBGene00017582,53
3293,WBGene00011771,53
5607,WBGene00044784,53
5608,WBGene00044789,53
5611,WBGene00044989,53
940,WBGene00019081,53
4473,WBGene00017988,53
4435,WBGene00017774,53
4440,WBGene00017797,53
5627,WBGene00045419,53
1659,WBGene00002637,53
5616,WBGene00045058,53
17527,WBGene00004027,53
2261,WBGene00006776,53
5110,WBGene00021270,53
4712,WBGene00019240,53
5578,WBGene00044436,53
3572,WBGene00013036,53
2136,WBGene00006307,53
97,WBGene00015689,53
19268,WBGene00003448,53
823,WBGene00013894,53
4682,WBGene00019082,53
5549,WBGene00044069,53
821,WBGene00018586,53
1232,WBGene00000498,53
481,WBGene00000041,53
1687,WBGene00003036,53
527,WBGene00004804,53
3328,WBGene00011940,53
4588,WBGene00018667,53
1636,WBGene00002220,53
16008,WBGene00010254,53
845,WBGene00008882,53
3581,WBGene00013095,53
2654,WBGene00008517,53
2824,WBGene00009404,53
16178,WBGene00006449,53
1379,WBGene00001090,53
4993,WBGene00020684,53
5006,WBGene00020756,53
1395,WBGene00001166,53
587,WBGene00015547,53
9968,WBGene00021969,53
1903,WBGene00004095,53
5193,WBGene00021563,53
1408,WBGene00001228,53
2759,WBGene00009119,53
1883,WBGene00004047,53
6344,WBGene00022039,53
16346,WBGene00022030,53
999,WBGene00021193,53
2726,WBGene00008945,53
1867,WBGene00003964,53
591,WBGene00013238,53
2723,WBGene00008932,53
604,WBGene00018491,53
5119,WBGene00021301,53
1841,WBGene00003865,53
